crate,tests,contains_ffi
aho-corasick-1.1.4,tests::regression_stream_rare_byte_prefilter,
brotli-decompressor-5.0.1,integration_tests::lcet10,
brotli-decompressor-5.0.1,integration_tests::test_alice29,
brotli-decompressor-5.0.1,integration_tests::test_as_you_like_it,
brotli-decompressor-5.0.1,integration_tests::test_metablock_reset,
brotli-decompressor-5.0.1,integration_tests::test_reader_uni,
brotli-decompressor-5.0.1,test::test_dict_medium,
brotli-decompressor-5.0.1,test::test_quickfox_repeated_exported,
brotli-decompressor-5.0.1,test::test_x,
csv-1.4.0,deserializer::tests::enum_label_simple_tagged,
csv-1.4.0,deserializer::tests::enum_untagged,
csv-1.4.0,deserializer::tests::with_header,
csv-1.4.0,deserializer::tests::with_header_missing,
csv-1.4.0,deserializer::tests::with_header_missing_ok,
curve25519-dalek-4.1.3,edwards::test::multiscalar_consistency_n_250,
curve25519-dalek-4.1.3,edwards::test::multiscalar_consistency_n_500,
flate2-1.1.9,deflate::tests::reset_decoder,
flate2-1.1.9,deflate::tests::reset_reader,
flate2-1.1.9,deflate::tests::reset_writer,
flate2-1.1.9,deflate::tests::roundtrip,
flate2-1.1.9,deflate::tests::roundtrip2,
flate2-1.1.9,deflate::tests::roundtrip3,
flate2-1.1.9,deflate::tests::total_in,
flate2-1.1.9,deflate::tests::zero_length_read_with_data,
flate2-1.1.9,gz::tests::gzip_encoder_matches_rfc1952,
flate2-1.1.9,gz::tests::roundtrip_big,
flate2-1.1.9,gz::tests::roundtrip_big2,
flate2-1.1.9,zlib::tests::roundtrip,
flate2-1.1.9,zlib::tests::roundtrip2,
flate2-1.1.9,zlib::tests::roundtrip3,
num-bigint-0.4.6,test_big_str,
num-bigint-0.4.6,test_pow,
