crate,rust_total_s,rust_n,miri_total_s,miri_n,aa4e1ea-bsan_total_s,aa4e1ea-bsan_n
anstream-1.0.0,,0,13.908174,10,,0
tower-http-0.6.11,3.057489,9,13.417472,9,11.304106,9
quinn-udp-0.6.1,,0,,0,12.823303,3
thread_local-1.1.9,1.836877,8,12.235438,8,8.861515,8
dirs-sys-0.5.0,0.496969,9,10.909956,9,12.156133,9
radium-1.1.1,0.384315,9,10.941738,9,11.860631,9
urlencoding-2.1.3,0.319878,9,9.851488,9,11.510511,9
async-trait-0.1.89,0.600927,4,8.680518,4,11.453112,4
dirs-sys-next-0.1.2,0.488020,9,11.271810,9,10.309816,9
scopeguard-1.2.0,0.457661,8,8.818080,8,10.885553,8
libc-0.2.186,,0,,0,10.598919,6
bumpalo-3.20.3,1.019167,5,6.981821,5,10.010087,5
anstyle-1.0.14,1.121873,8,9.232068,8,9.379149,8
shlex-2.0.1,0.228862,7,8.967639,7,9.376359,7
is-terminal-0.4.17,0.440071,6,6.465265,6,8.357580,6
either-1.16.0,0.380770,7,8.046463,7,8.087271,7
rustversion-1.0.22,0.266078,2,7.054628,2,7.652604,2
cpufeatures-0.3.0,0.102431,2,6.957274,2,6.759882,2
r-efi-6.0.0,0.143773,4,6.470109,4,4.206563,4
event-listener-strategy-0.5.4,0.223998,2,4.020226,2,5.457154,2
generic-array-1.4.3,0.811618,3,4.569388,3,4.838557,3
generic-array-1.4.2,0.836712,3,4.683261,3,3.423998,3
atomic-waker-1.1.2,0.257822,1,1.997054,1,4.646080,1
hyper-1.10.1,0.410915,2,2.374266,2,4.304328,2
errno-0.3.14,,0,,0,4.270156,4
http-body-1.0.1,0.098550,2,3.590282,2,4.034917,2
anstyle-query-1.1.5,0.130335,3,3.079326,3,3.388803,3
serde_core-1.0.228,0.055984,1,3.163414,1,2.003327,1
futures-util-0.3.32,0.181069,1,2.984433,1,2.108281,1
utf8_iter-1.0.4,0.073117,2,2.083854,2,2.475914,2
ppv-lite86-0.2.21,,0,2.287843,2,,0
inout-0.2.2,0.047716,1,1.845888,1,2.041639,1
redox_syscall-0.8.0,0.060355,1,1.805277,1,1.223314,1
addr2line-0.26.1,0.317425,1,1.584617,1,,0
core-foundation-sys-0.8.7,,0,,0,1.373144,1
futures-task-0.3.32,0.038846,1,1.076930,1,0.959336,1
backtrace-0.3.76,,0,,0,,0
