build,crate,status,compile_seconds,run_seconds,timestamp,job_id
rust,twox-hash-2.1.2,success,9.983,0.837,2026-06-12T16:39:52Z,1801703
rust,unicode-bidi-0.3.18,success,6.104,0.557,2026-06-12T16:39:52Z,1801704
rust,utf8parse-0.2.2,success,1.791,0.178,2026-06-12T16:40:00Z,1801712
rust,utf8_iter-1.0.4,success,1.710,0.409,2026-06-12T16:40:01Z,1801711
rust,urlencoding-2.1.3,success,2.081,0.435,2026-06-12T16:40:01Z,1801709
rust,utf-8-0.7.6,success,1.976,0.654,2026-06-12T16:40:01Z,1801710
rust,reqwest-0.13.4,success,158.732,9.272,2026-06-12T16:39:47Z,1801649
rust,wait-timeout-0.2.1,build_failed,2.195,0.000,2026-06-12T16:40:03Z,1801715
rust,tracing-0.1.44,build_failed,36.865,0.000,2026-06-12T16:40:00Z,1801696
rust,winapi-util-0.1.11,success,1.188,0.193,2026-06-12T16:40:10Z,1801720
rust,web-sys-0.3.99,success,0.289,0.127,2026-06-12T16:40:10Z,1801717
rust,tracing-log-0.2.0,success,37.086,0.880,2026-06-12T16:40:06Z,1801699
rust,tower-http-0.6.11,test_failed,47.619,1.053,2026-06-12T16:40:08Z,1801695
rust,tonic-0.14.6,success,55.544,2.029,2026-06-12T16:40:07Z,1801694
rust,windows-core-0.62.2,success,7.189,0.306,2026-06-12T16:40:16Z,1801745
rust,winapi-0.3.9,success,2.337,0.189,2026-06-12T16:40:17Z,1801719
rust,windows-sys-0.61.2,success,0.072,0.039,2026-06-12T16:40:19Z,1801748
rust,windows-strings-0.5.1,test_failed,1.260,0.501,2026-06-12T16:40:20Z,1801747
rust,windows-result-0.4.1,test_failed,1.772,0.262,2026-06-12T16:40:21Z,1801746
rust,wasm-bindgen-0.2.122,success,11.767,0.643,2026-06-12T16:40:21Z,1801716
rust,which-8.0.2,success,7.323,0.616,2026-06-12T16:40:22Z,1801718
rust,tracing-subscriber-0.3.23,build_failed,58.812,0.000,2026-06-12T16:40:22Z,1801700
rust,xattr-1.6.1,test_failed,8.121,0.088,2026-06-12T16:40:31Z,1801751
rust,unicode-ident-1.0.24,test_failed,37.177,0.340,2026-06-12T16:40:30Z,1801705
rust,url-2.5.8,success,19.755,7.555,2026-06-12T16:40:33Z,1801708
rust,uuid-1.23.2,success,20.740,5.687,2026-06-12T16:40:41Z,1801714
rust,syn-2.0.117,build_failed,153.986,0.000,2026-06-12T16:40:37Z,1801681
rust,zerocopy-derive-0.8.50,build_failed,8.734,0.000,2026-06-12T16:40:47Z,1801755
rust,zeroize-1.8.2,success,11.826,2.012,2026-06-12T16:40:56Z,1801756
rust,yoke-0.8.2,test_failed,13.970,4.372,2026-06-12T16:40:57Z,1801753
rust,yansi-1.0.1,success,3.236,33.277,2026-06-12T16:40:57Z,1801752
rust,zstd-safe-7.2.4,success,15.907,0.750,2026-06-12T16:40:58Z,1801762
rust,writeable-0.6.3,build_failed,33.963,0.000,2026-06-12T16:41:08Z,1801750
rust,zerocopy-0.8.50,success,27.398,11.364,2026-06-12T16:41:17Z,1801754
rust,zerovec-derive-0.11.3,build_failed,32.161,0.000,2026-06-12T16:41:17Z,1801759
rust,zstd-sys-2.0.16+zstd.1.5.7,build_failed,32.056,0.000,2026-06-12T16:41:33Z,1801763
rust,zerotrie-0.2.4,build_failed,48.543,0.000,2026-06-12T16:41:59Z,1801757
rust,zstd-0.13.3,build_failed,72.026,0.000,2026-06-12T16:42:03Z,1801761
rust,zerovec-0.11.6,build_failed,58.002,0.000,2026-06-12T16:42:20Z,1801758
rust,winnow-1.0.3,success,72.189,27.382,2026-06-12T16:42:25Z,1801749
rust,quinn-proto-0.11.14,success,115.827,7.359,2026-06-12T16:42:01Z,1801639
rust,tungstenite-0.29.0,success,90.752,1.124,2026-06-12T16:43:30Z,1801702
rust,ryu-1.0.23,success,82.644,9.450,2026-06-12T16:43:39Z,1801655
rust,zip-8.6.0,success,125.550,29.036,2026-06-12T16:44:32Z,1801760
rust,rustls-native-certs-0.8.3,success,344.404,10.903,2026-06-12T16:47:01Z,1801652
rust,crossbeam-queue-0.3.12,success,8.858,2299.735,2026-06-12T17:08:31Z,1801513
