crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,bsan_status,bsan_mean_s,bsan_min_s,bsan_max_s
addr2line-0.26.1,tests::context_is_send,success,0.31742452940000004,0.30128137800000004,0.341289285,success,1.5846166104000001,1.5549428170000001,1.6129601610000002,,,,
alloc-no-stdlib-2.0.4,calloc_pool_test,success,0.046640855300000006,0.043641817,0.058428583000000006,success,3.1798678148,3.082299891,3.245465566,success,5.4593493,4.831962218,5.845945028
alloc-no-stdlib-2.0.4,global_pool_test,success,0.0453858891,0.042906287,0.049003250000000005,success,2.9586227149999997,2.926589283,2.979737181,success,5.3838006416,5.221039987,5.533882332
alloc-no-stdlib-2.0.4,stack_pool_free_null,success,0.0453594004,0.043494165,0.049371917,success,3.0463412867999997,3.003125416,3.107924306,success,5.323949902400001,5.048033007,5.463732699
alloc-no-stdlib-2.0.4,stack_pool_test,success,0.0435872855,0.042391815,0.047861546000000005,success,2.9856674853999996,2.9281217660000003,3.068346352,success,5.486433443400001,5.020902059,5.926855287
alloc-no-stdlib-2.0.4,tests::heap_test,success,0.0468166738,0.045367777000000005,0.050246901000000004,success,3.2172495288,3.177212379,3.25957289,success,5.211090114399999,4.881743969,5.52606635
alloc-no-stdlib-2.0.4,uninitialized_calloc_pool_test,success,0.0456078805,0.043825441,0.047427547,success,3.0114827650000002,2.965557519,3.062648665,success,5.2863241618000005,4.936755148,5.753961774
alloc-no-stdlib-2.0.4,uninitialized_global_pool_test,success,0.0456922264,0.044302521000000004,0.048560028000000005,success,2.9348499488,2.844020995,3.060049833,success,3.955554583,2.129826855,5.632486922
alloc-no-stdlib-2.0.4,uninitialized_stack_pool_free_null,success,0.044629617,0.043262150000000006,0.045994905,success,2.8965598154,2.816284016,2.988188847,success,4.956940750799999,4.649327721,5.112497293
alloc-no-stdlib-2.0.4,uninitialized_stack_pool_test,success,0.0443699282,0.042316478000000005,0.047394885000000005,success,2.8602960008000005,2.787675561,2.9297923040000002,success,5.186040316400001,4.972876746,5.338781434
alloc-stdlib-0.2.2,calloc_pool_test,success,0.0493690122,0.048443950000000006,0.050435955000000005,test_failed,,,,success,5.1713414934,4.817885397,5.632698041
alloc-stdlib-0.2.2,global_pool_test,success,0.0498016404,0.047864988000000004,0.052154435000000006,success,3.1448924032,3.113674187,3.190638456,success,2.1252932209999997,2.062780612,2.20289931
alloc-stdlib-0.2.2,heap_pool_test,success,0.050520530400000006,0.049028528,0.055036427000000006,success,4.0652066674,3.997636779,4.122363064,success,2.6097021794,2.485758824,2.74099939
alloc-stdlib-0.2.2,stack_pool_free_null,success,0.0519286924,0.049343265000000004,0.056766188,success,3.0810464636,3.024343925,3.124272979,success,2.4176468287999997,2.411040944,2.434154987
alloc-stdlib-0.2.2,stack_pool_test,success,0.05031234090000001,0.048083843,0.055063527,success,3.0096365188,2.9954594390000002,3.043518541,success,2.388434917,2.37300742,2.404706502
alloc-stdlib-0.2.2,tests::heap_test,success,0.0511023967,0.049287089000000006,0.056927721,success,3.2280810790000003,3.211228113,3.234039593,success,2.3961627428,2.383008377,2.419100281
