crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,aa4e1ea-bsan_status,aa4e1ea-bsan_mean_s,aa4e1ea-bsan_min_s,aa4e1ea-bsan_max_s
ansi_term-0.12.1,ansi::test::cyan_bold_ul_on_white,success,0.0933897432,0.08933611000000001,0.09896645500000001,success,1.3304818001999998,1.29539245,1.39305637,success,1.1812673245999998,1.15063718,1.246694861
ansi_term-0.12.1,ansi::test::cyan_ul_bold_on_white,success,0.09426873799999999,0.089907728,0.101322168,success,1.3118751576,1.303324447,1.332809252,success,1.1656035835999998,1.148195584,1.182158753
ansi_term-0.12.1,ansi::test::cyan_ul_on_white,success,0.0946646996,0.090694696,0.10027155500000001,success,1.334369852,1.2774651160000001,1.493050043,success,1.1795641488,1.174572354,1.187982219
ansi_term-0.12.1,ansi::test::dimmed,success,0.100218777,0.095269323,0.10886274900000001,success,1.3052680046,1.284297347,1.3406930510000001,success,1.1396915029999999,1.040183264,1.173688189
ansi_term-0.12.1,ansi::test::fixed,success,0.096296928,0.09103794700000001,0.103457294,success,1.3146132735999998,1.272647599,1.389773943,success,1.171492419,1.1641877919999999,1.179775877
ansi_term-0.12.1,ansi::test::fixed_on_fixed,success,0.10087176430000003,0.093657476,0.13775989900000002,success,1.3395834366,1.289287079,1.403007803,success,1.1843671956000001,1.176420736,1.191543665
ansi_term-0.12.1,ansi::test::fixed_on_purple,success,0.09879869890000001,0.090802771,0.114772464,success,1.2924634229999998,1.250111246,1.313763073,success,1.1612703388,1.151569564,1.172362575
ansi_term-0.12.1,ansi::test::green_bold_ul,success,0.09998756080000001,0.09259170800000001,0.116214753,success,1.3024610176,1.287168239,1.3205418930000001,success,1.1550927054,1.145853833,1.16507338
ansi_term-0.12.1,ansi::test::green_bold_ul_2,success,0.09870152310000001,0.09068656,0.12943081,success,1.2832099984,1.269786683,1.300241522,success,1.1709896722000002,1.164026006,1.181720154
ansi_term-0.12.1,ansi::test::hidden,success,0.0966965862,0.09037972500000001,0.107667156,success,1.2771542794,1.235460211,1.3115190270000001,success,1.1704510712,1.1680559910000001,1.175853602
ansi_term-0.12.1,ansi::test::italic,success,0.09308398220000001,0.089123195,0.100539161,success,1.3142060292,1.268925246,1.364215314,success,1.1646629808,1.092970754,1.189423558
ansi_term-0.12.1,ansi::test::plain,success,0.0949091857,0.08796612100000001,0.101526109,success,1.2799878126,1.268749292,1.302644442,success,1.1748925382,1.164718065,1.1860693
ansi_term-0.12.1,ansi::test::purple_on_white,success,0.098586737,0.089423745,0.13851801,success,1.295198775,1.2630784130000001,1.333890787,success,1.178298785,1.164866771,1.187528214
ansi_term-0.12.1,ansi::test::purple_on_white_2,success,0.09483183380000001,0.089485984,0.108828111,success,1.2930349211999999,1.265437081,1.332025376,success,1.1845407432,1.173844335,1.196333108
ansi_term-0.12.1,ansi::test::red,success,0.0902564221,0.086789244,0.093333317,success,1.2815727716,1.258765482,1.3100538240000001,success,1.1701943748,1.160987544,1.185180627
ansi_term-0.12.1,ansi::test::reverse,success,0.0902632404,0.08589535200000001,0.09382614800000001,success,1.2754558758,1.233069445,1.330792474,success,1.15696195,1.148298112,1.169151683
ansi_term-0.12.1,ansi::test::rgb,success,0.09075092879999999,0.08767540900000001,0.094896329,success,1.2780635292,1.238479783,1.3055502890000001,success,1.1630363798,1.132100405,1.176722123
ansi_term-0.12.1,ansi::test::rgb_on_blue,success,0.0947352041,0.088987591,0.106939193,success,1.2978424138,1.283638307,1.319478411,success,1.1654414136,1.153022742,1.176589461
