build,crate,test,status,compile_seconds,mean_s,stddev_s,median_s,min_s,max_s,runs,timestamp,job_id,tests_requested,tests_run,test_threads,excluded_failed
bsan,bytes-1.11.1,__calibration__,calibration,12.037,2.062710054,0.3738047634592648,1.95600401,1.753860969,2.478265183,3,2026-09-23T20:22:47Z,2158092.0,0,0,4,0
bsan,bytes-1.11.1,__concurrent__,success,12.037,25.425820052333336,1.9816129567199345,24.497143053,24.079092793,27.701224311,3,2026-09-23T20:24:33Z,2158092.0,981,982,4,0
bsan,parking_lot-0.12.5,__calibration__,calibration,10.248,0.4290190606666667,0.012585966852183359,0.423730359,0.419940409,0.443386414,3,2026-09-23T20:22:37Z,2158092.1,0,0,4,0
bsan,parking_lot-0.12.5,__concurrent__,bench_failed,10.248,,,,,,3,2026-09-23T20:23:29Z,2158092.1,76,76,4,0
bsan,slab-0.4.12,__calibration__,calibration,13.398,0.386187088,0.008245797504331702,0.38160926700000003,0.381245795,0.395706202,3,2026-09-23T20:22:37Z,2158092.2,0,0,4,0
bsan,slab-0.4.12,__concurrent__,success,13.398,1.7307227833333332,0.18862934032631476,1.756682588,1.5304580859999999,1.905027676,3,2026-09-23T20:22:44Z,2158092.2,47,47,4,0
bsan,crossbeam-deque-0.8.6,__calibration__,calibration,12.168,0.5838898633333334,0.021528375788242498,0.574593303,0.5685718860000001,0.608504401,3,2026-09-23T20:22:38Z,2158092.3,0,0,4,0
bsan,crossbeam-deque-0.8.6,__concurrent__,success,12.168,22.347668162999998,1.785871540071526,21.675597104,20.995338351,24.372069034,3,2026-09-23T20:24:10Z,2158092.3,23,35,4,0
bsan,socket2-0.6.4,__calibration__,calibration,9.684,0.20962101233333338,0.009916746749437861,0.20616071800000002,0.201898031,0.22080428800000002,3,2026-09-23T20:22:34Z,2158092.4,0,0,4,0
bsan,socket2-0.6.4,__concurrent__,success,9.684,0.3051208606666667,0.024982711238096166,0.30643775500000003,0.279505747,0.32941908000000003,3,2026-09-23T20:22:35Z,2158092.4,10,10,4,0
