crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures,memory_kinds
bincode-2.0.1,"1,957,486","17,802,367","9.1 (31,599)","5,169,801","2.6 (3,289)","3,252,417",1.7 (391),"792,216,914","404.7 (2,680,720)","436,840,451","223.2 (1,766,157)","4,200","8,516,027","4.4 (29,648)","146,380",{}
bindgen-0.72.1,"1,099,142","10,742,880","9.8 (205,392)","2,984,885","2.7 (32,484)","1,899,104","1.7 (6,475)","468,180,533","426.0 (21,092,115)","256,667,840","233.5 (10,984,714)","2,422","4,660,880","4.2 (204,395)","110,638",{}
bit-set-0.10.0,"912,806","8,942,687","9.8 (367,656)","2,592,780","2.8 (86,595)","1,554,997","1.7 (10,002)","391,010,361","428.4 (16,212,821)","568,718,454","623.0 (113,578,702)","1,982","4,519,240","5.0 (365,607)","83,933",{}
bit-vec-0.9.1,"4,235,584","33,829,737","8.0 (1,298,435)","10,962,668","2.6 (152,576)","6,358,316","1.5 (73,728)","1,701,409,512","401.7 (401,001,176)","5,264,632,511","1243.0 (2,259,145,486)","7,083","14,049,214","3.3 (1,052,206)","1,426,734",{}
block-buffer-0.12.0,"276,927","2,506,276","9.1 (32,187)","733,352","2.6 (3,289)","461,236",1.7 (391),"115,059,833","415.5 (3,168,092)","61,028,066","220.4 (1,880,033)",580,"1,164,513","4.2 (30,196)","21,571",{}
bumpalo-3.20.3,"171,381","1,546,600","9.0 (32,187)","453,053","2.6 (3,289)","285,146",1.7 (391),"73,222,580","427.3 (3,173,836)","37,918,337","221.3 (1,866,465)",360,"705,448","4.1 (30,196)","12,803",{}
bytemuck-1.25.0,"783,610","7,141,278","9.1 (31,977)","2,072,738","2.6 (3,289)","1,301,370",1.7 (391),"338,156,440","431.5 (3,136,842)","180,314,737","230.1 (1,857,373)","1,704","3,392,932","4.3 (29,986)","58,336",{}
byteorder-1.5.0,"11,484,053","97,391,723","8.5 (31,977)","32,387,045","2.8 (3,289)","20,929,224",1.8 (867),"4,431,446,181","385.9 (3,104,693)","3,141,033,200","273.5 (1,823,937)","22,908","44,861,471","3.9 (29,986)","728,291",{}
bytes-1.11.1,"32,121,345","291,859,347","9.1 (31,573)","84,964,517","2.6 (3,289)","53,471,498",1.7 (391),"13,720,029,110","427.1 (3,127,996)","7,314,576,087","227.7 (1,815,464)","69,803","138,595,217","4.3 (29,622)","2,402,089",{}
camino-1.2.2,"249,727","1,951,043","7.8 (32,187)","658,876","2.6 (3,289)","397,188",1.6 (391),"83,202,969","333.2 (3,124,745)","39,594,473","158.6 (1,875,097)",431,"758,052","3.0 (30,196)","15,147",{}
cc-1.2.63,"564,460","4,911,917","8.7 (75,834)","1,508,434","2.7 (6,420)","947,634","1.7 (3,237)","240,244,069","425.6 (18,627,512)","118,774,815","210.4 (3,713,036)","1,131","2,237,553","4.0 (64,266)","49,601",{}
colored-3.1.1,"5,721,727","50,968,660","8.9 (656,265)","15,434,413","2.7 (156,106)","9,525,632","1.7 (28,203)","2,833,622,094","495.2 (188,670,403)","5,414,242,098","946.3 (803,343,738)","13,816","23,829,697","4.2 (651,804)","628,190",{}
combine-4.6.7,"2,647,034","24,122,624","9.1 (32,187)","7,008,500","2.6 (3,289)","4,398,557",1.7 (391),"1,166,193,617","440.6 (3,174,578)","603,011,921","227.8 (1,866,482)","5,672","11,163,552","4.2 (30,196)","196,727",{}
concurrent-queue-2.5.0,"486,917","5,300,847","10.9 (482,452)","1,384,994","2.8 (36,530)","830,628","1.7 (10,558)","210,020,097","431.3 (6,112,840)","187,303,648","384.7 (39,788,782)","1,073","2,711,090","5.6 (481,903)","40,208",{}
const-oid-0.10.2,"4,306,190","23,271,672","5.4 (731,127)","9,837,643","2.3 (106,086)","6,379,716","1.5 (25,141)","1,158,853,709","269.1 (282,391,651)","3,958,136,359","919.2 (2,308,099,504)","6,989","10,392,281","2.4 (728,875)","810,082",{}
core-foundation-sys-0.8.7,"34,218","308,932","9.0 (32,187)","90,329","2.6 (3,289)","56,810",1.7 (391),"14,345,879","419.2 (3,169,248)","7,468,964","218.3 (1,863,244)",73,"144,535","4.2 (30,196)","2,485",{}
cpufeatures-0.3.0,"68,362","617,453","9.0 (32,187)","180,385","2.6 (3,289)","113,465",1.7 (391),"28,265,202","413.5 (3,117,242)","15,109,466","221.0 (1,880,033)",144,"289,563","4.2 (30,196)","4,971",{}
crc32fast-1.5.0,"8,492,156","115,305,862","13.6 (10,745,117)","37,518,696","4.4 (9,495,456)","19,342,636","2.3 (4,067,236)","4,608,768,799","542.7 (1,481,698,755)","3,553,373,194","418.4 (951,010,314)","30,386","48,884,650","5.8 (10,745,060)","2,428,372",{}
