crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures,memory_kinds
slab-0.4.12,"1,652,767","14,761,667","8.9 (31,977)","4,418,225","2.7 (3,289)","2,795,522",1.7 (413),"690,892,367","418.0 (3,189,281)","363,695,554","220.1 (1,839,339)","3,494","6,806,631","4.1 (29,986)","122,852",{}
smallvec-1.15.1,"2,068,413","18,842,381","9.1 (32,187)","5,474,355","2.6 (3,289)","3,433,360",1.7 (391),"897,722,217","434.0 (3,169,248)","467,893,260","226.2 (1,863,244)","4,537","8,952,371","4.3 (30,196)","153,465",{}
socket2-0.6.4,"343,054","3,091,011","9.0 (32,165)","910,619","2.7 (3,289)","574,918",1.7 (391),"145,739,318","424.8 (3,131,431)","74,309,458","216.6 (1,829,617)",730,"1,409,686","4.1 (30,174)","25,721",{}
spin-0.12.0,"1,358,000","11,472,960","8.4 (55,551)","3,495,572","2.6 (3,420)","2,235,301","1.6 (1,293)","506,376,139","372.9 (3,150,273)","278,762,952","205.3 (5,243,484)","2,572","5,176,798","3.8 (55,461)","94,825",{}
subtle-2.6.1,"1,081,066","10,288,300","9.5 (36,755)","2,894,398","2.7 (5,150)","1,850,771","1.7 (1,023)","474,093,978","438.5 (4,484,922)","223,115,152","206.4 (1,825,231)","2,510","4,367,956","4.0 (36,680)","111,384",{}
tempfile-3.27.0,"3,939,821","40,309,010","10.2 (2,330,000)","10,906,615","2.8 (400,000)","6,811,727","1.7 (60,000)","1,419,625,851","360.3 (166,069,014)","538,673,039","136.7 (30,881,058)","8,123","13,243,753","3.4 (1,497,275)","292,971",{}
thread_local-1.1.9,"286,340","2,566,411","9.0 (32,187)","761,002","2.7 (3,289)","477,808","1.7 (1,026)","119,509,153","417.4 (3,168,092)","75,007,912","262.0 (7,645,426)",599,"1,199,903","4.2 (30,196)","25,021",{}
tinystr-0.8.3,"2,371,541","20,722,515","8.7 (31,977)","7,609,960","3.2 (19,390)","4,461,556","1.9 (8,311)","813,323,334","343.0 (4,264,908)","370,944,236","156.4 (1,846,789)","4,967","5,133,382","2.2 (29,986)","673,683",{}
tokio-stream-0.1.18,"1,638,953","14,927,820","9.1 (32,165)","4,332,249","2.6 (3,289)","2,719,518",1.7 (391),"697,620,751","425.7 (3,115,905)","372,750,843","227.4 (1,824,342)","3,600","7,063,480","4.3 (30,174)","121,372",{}
tower-http-0.6.11,"311,847","2,805,167","9.0 (32,187)","825,392","2.6 (3,289)","519,072",1.7 (391),"130,626,372","418.9 (3,216,738)","68,704,826","220.3 (1,849,136)",658,"1,296,399","4.2 (30,196)","23,393",{}
tracing-core-0.1.36,"859,811","7,815,900","9.1 (32,187)","2,274,257","2.6 (3,289)","1,427,231",1.7 (391),"368,334,418","428.4 (3,169,248)","193,843,460","225.4 (1,863,244)","1,877","3,704,936","4.3 (30,196)","63,529",{}
tracing-log-0.2.0,"231,029","2,101,794","9.1 (32,187)","611,230","2.6 (3,289)","383,510",1.7 (391),"98,595,459","426.8 (3,166,723)","52,869,328","228.8 (1,874,572)",499,"992,928","4.3 (30,196)","17,066",{}
tungstenite-0.29.0,"1,579,709","13,815,062","8.7 (32,187)","4,206,981","2.7 (3,289)","2,646,162",1.7 (391),"646,854,224","409.5 (3,278,378)","344,148,377","217.9 (3,995,396)","3,276","6,299,808","4.0 (30,196)","138,315",{}
unicode-bidi-0.3.18,"1,516,208","12,819,553","8.5 (32,187)","4,089,427","2.7 (3,289)","2,493,436",1.6 (391),"548,088,327","361.5 (3,148,919)","283,776,775","187.2 (1,824,714)","2,856","5,395,427","3.6 (30,196)","156,430",{}
unicode-normalization-0.1.25,"12,905,019","75,643,561","5.9 (17,029,237)","33,719,149","2.6 (3,164,711)","23,349,470","1.8 (1,183,618)","1,050,737,270","81.4 (404,050,024)","357,841,208","27.7 (105,512,044)","6,677","3,860,538","0.3 (1,755,700)","2,549,092",{}
url-2.5.8,"301,467,446","1,739,624,774","5.8 (1,730,600)","923,927,232","3.1 (1,271,901)","512,281,920","1.7 (144,037)","100,799,922,563","334.4 (293,870,468)","243,032,353,183","806.2 (2,912,641,537)","666,440","744,913,933","2.5 (1,728,652)","68,827,659",{}
urlencoding-2.1.3,"313,522","2,810,735","9.0 (32,187)","830,496","2.6 (3,289)","522,346",1.7 (391),"130,610,949","416.6 (3,169,061)","67,720,789","216.0 (1,863,142)",658,"1,299,362","4.1 (30,196)","23,171",{}
utf8_iter-1.0.4,"68,426","617,851","9.0 (32,187)","180,587","2.6 (3,289)","113,641",1.7 (391),"28,639,100","418.5 (3,169,202)","14,973,643","218.8 (1,863,222)",146,"288,878","4.2 (30,196)","4,983",{}
utf8parse-0.2.2,"178,779","1,004,524","5.6 (344,861)","424,118","2.4 (42,158)","269,270","1.5 (24,246)","28,860,059","161.4 (12,034,416)","119,003,664","665.6 (76,189,983)",170,"587,069","3.3 (344,792)","2,575",{}
uuid-1.23.2,"2,192,210","19,188,470","8.8 (52,340)","5,856,926","2.7 (3,744)","3,696,587",1.7 (391),"890,963,072","406.4 (3,489,556)","477,370,623","217.8 (6,197,548)","4,502","8,745,343","4.0 (30,196)","192,449",{}
which-8.0.2,"985,564","8,713,723","8.8 (32,187)","2,571,908","2.6 (3,289)","1,642,357",1.7 (391),"384,962,161","390.6 (3,235,960)","188,892,284","191.7 (1,856,380)","1,986","3,706,077","3.8 (30,196)","74,467",{}
writeable-0.6.3,"526,328","4,791,837","9.1 (32,187)","1,392,558","2.6 (3,289)","873,616",1.7 (391),"225,313,927","428.1 (3,125,795)","120,518,799","229.0 (1,871,421)","1,137","2,269,099","4.3 (30,196)","39,005",{}
yansi-1.0.1,"257,871","2,300,277","8.9 (32,187)","683,247","2.6 (3,289)","432,938",1.7 (391),"103,981,373","403.2 (3,169,156)","52,843,943","204.9 (1,863,168)",528,"1,020,953","4.0 (30,196)","24,204",{}
yoke-0.8.2,"394,898","3,594,336","9.1 (32,187)","1,044,251","2.6 (3,289)","655,518",1.7 (391),"168,620,211","427.0 (3,162,819)","90,477,481","229.1 (1,874,572)",850,"1,689,768","4.3 (30,196)","29,207",{}
zeroize-1.8.2,"424,282","3,866,952","9.1 (32,187)","1,122,770","2.6 (3,289)","704,743",1.7 (391),"185,176,918","436.4 (3,123,618)","97,347,975","229.4 (1,872,623)",910,"1,789,756","4.2 (30,196)","31,550",{}
