crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures
smallvec-1.15.1,"2,056,577","15,948,523","7.8 (1,985,067)","5,244,933","2.6 (207,207)","3,420,443","1.7 (24,633)","867,679,131","421.9 (181,679,085)","640,704,214","311.5 (200,698,344)","4,286","8,282,085","4.0 (1,862,091)","153,360"
socket2-0.6.4,"342,305","2,789,761","8.1 (317,070)","889,739","2.6 (32,890)","574,346","1.7 (3,910)","141,601,587","413.7 (29,975,130)","102,154,541","298.4 (31,828,120)",720,"1,342,154","3.9 (297,550)","24,913"
spin-0.12.0,"1,371,016","10,549,040","7.7 (1,078,446)","3,473,273","2.5 (111,826)","2,252,936","1.6 (13,294)","500,584,853","365.1 (102,265,132)","445,615,733","325.0 (108,412,876)","2,533","4,770,776","3.5 (1,012,078)","93,631"
subtle-2.6.1,"1,082,084","9,430,203","8.7 (888,132)","2,842,760","2.6 (92,092)","1,856,301","1.7 (10,948)","461,561,988","426.5 (84,517,804)","302,484,371","279.5 (88,826,080)","2,462","4,147,551","3.8 (833,476)","110,022"
tempfile-3.27.0,"3,861,960","34,952,298","9.1 (1,920,019)","10,879,435","2.8 (370,009)","6,779,680","1.8 (60,007)","1,323,202,392","342.6 (173,735,412)","698,609,476","180.9 (191,476,889)","7,449","12,057,620","3.1 (1,756,253)","245,542"
thread_local-1.1.9,"286,621","2,302,787","8.0 (253,752)","742,863","2.6 (26,312)","478,477","1.7 (3,128)","114,751,663","400.4 (23,391,432)","96,677,963","337.3 (25,567,304)",589,"1,142,041","4.0 (238,136)","24,831"
tinystr-0.8.3,"2,314,449","19,544,275","8.4 (570,546)","7,378,055","3.2 (117,694)","4,406,147","1.9 (50,136)","794,372,900","343.2 (49,348,656)","408,765,205","176.6 (57,647,790)","4,911","4,612,988","2.0 (535,410)","553,311"
tokio-stream-0.1.18,"1,631,546","14,208,248","8.7 (1,524,733)","4,286,865","2.6 (166,429)","2,717,292","1.7 (19,159)","667,158,034","408.9 (138,680,829)","503,438,197","308.6 (154,927,857)","3,469","6,763,770","4.1 (1,431,045)","122,795"
tower-http-0.6.11,"309,922","2,514,387","8.1 (281,718)","801,441","2.6 (29,601)","516,991","1.7 (3,519)","120,453,822","388.7 (24,230,394)","92,707,081","299.1 (28,934,667)",648,"1,245,876","4.0 (264,168)","23,227"
tracing-core-0.1.36,"858,998","6,950,989","8.1 (792,125)","2,214,651","2.6 (82,225)","1,427,291","1.7 (9,775)","347,245,893","404.2 (71,163,525)","265,703,513","309.3 (79,121,375)","1,802","3,555,165","4.1 (743,325)","63,529"
tracing-log-0.2.0,"229,394","1,789,211","7.8 (217,826)","585,793","2.6 (23,023)","381,774","1.7 (2,737)","92,453,569","403.0 (18,838,694)","70,261,857","306.3 (21,676,494)",485,"949,168","4.1 (204,449)","17,146"
tungstenite-0.29.0,"1,570,867","12,580,006","8.0 (1,363,401)","4,108,123","2.6 (141,427)","2,635,562","1.7 (16,813)","620,219,298","394.8 (129,853,980)","457,259,544","291.1 (137,116,293)","3,187","5,999,230","3.8 (1,279,465)","131,805"
twox-hash-2.1.2,"3,033,216","28,926,835","9.5 (1,776,264)","9,127,365","3.0 (184,184)","5,601,635","1.8 (31,532)","5,964,906,439","1966.5 (1,015,737,795)","861,847,522,572","284136.5 (416,519,537,530)","24,717","17,467,706","5.8 (1,666,952)","549,129"
unicode-bidi-0.3.18,"1,527,956","11,767,475","7.7 (1,140,660)","4,023,281","2.6 (118,404)","2,504,594","1.6 (14,076)","515,465,256","337.4 (99,179,784)","383,404,336","250.9 (115,378,812)","2,781","5,162,366","3.4 (1,070,388)","146,808"
unicode-normalization-0.1.25,"12,869,010","74,560,233","5.8 (17,030,046)","33,653,064","2.6 (3,164,779)","23,313,219","1.8 (1,183,632)","1,039,276,269","80.8 (404,234,859)","395,107,236","30.7 (107,449,623)","6,634","3,554,655","0.3 (1,755,922)","2,162,640"
url-2.5.8,"301,265,994","1,721,457,506","5.7 (115,883,066)","944,480,388","3.1 (85,215,692)","507,236,791","1.7 (9,650,479)","99,591,758,486","330.6 (19,679,402,006)","276,140,643,454","916.6 (233,244,647,599)","658,033","699,030,162","2.3 (115,797,708)","54,001,263"
urlencoding-2.1.3,"311,789","2,509,218","8.0 (283,455)","806,715","2.6 (29,601)","520,498","1.7 (3,519)","124,624,509","399.7 (25,949,187)","91,981,651","295.0 (29,025,567)",649,"1,236,831","4.0 (265,887)","22,699"
utf8_iter-1.0.4,"68,015","524,991","7.7 (62,994)","173,216","2.5 (6,578)","113,221",1.7 (782),"28,002,929","411.7 (5,769,728)","20,572,303","302.5 (6,452,892)",144,"268,779","4.0 (59,090)","4,985"
utf8parse-0.2.2,"174,796","900,446","5.2 (299,135)","409,028","2.3 (42,158)","265,277","1.5 (24,246)","26,250,103","150.2 (9,870,891)","126,423,095","723.3 (74,950,202)",153,"531,651","3.0 (299,069)","2,549"
uuid-1.23.2,"2,175,482","17,371,725","8.0 (1,890,900)","5,698,297","2.6 (197,340)","3,676,087","1.7 (23,460)","856,132,408","393.5 (171,896,880)","718,642,651","330.3 (189,786,960)","4,381","8,106,167","3.7 (1,773,780)","189,858"
which-8.0.2,"983,543","7,982,341","8.1 (760,440)","2,519,757","2.6 (78,936)","1,641,467","1.7 (9,384)","375,852,878","382.1 (71,386,944)","252,146,677","256.4 (75,476,160)","1,959","3,465,555","3.5 (713,592)","71,018"
writeable-0.6.3,"520,357","4,045,431","7.8 (498,256)","1,327,539","2.6 (52,624)","866,895","1.7 (6,256)","214,241,440","411.7 (44,130,256)","161,345,652","310.1 (50,526,752)","1,122","2,107,290","4.0 (467,664)","39,114"
yansi-1.0.1,"257,240","2,076,237","8.1 (221,949)","666,869","2.6 (23,023)","432,372","1.7 (2,737)","102,156,147","397.1 (20,962,851)","71,675,178","278.6 (22,146,887)",519,"939,646","3.7 (208,285)","20,612"
yoke-0.8.2,"390,836","3,038,456","7.8 (371,268)","996,876","2.6 (39,468)","650,921","1.7 (4,692)","156,765,675","401.1 (29,032,872)","118,801,655","304.0 (36,801,552)",830,"1,584,159","4.1 (348,324)","29,394"
zerocopy-0.8.50,"3,566,729","31,222,854","8.8 (3,295,240)","9,393,191","2.6 (342,057)","5,927,365","1.7 (40,665)","1,475,142,006","413.6 (295,408,048)","1,100,098,492","308.4 (329,211,480)","7,376","14,293,820","4.0 (3,092,232)","263,203"
zeroize-1.8.2,"423,587","3,288,912","7.8 (412,347)","1,080,798","2.6 (42,757)","704,310","1.7 (5,083)","179,131,605","422.9 (39,046,397)","131,607,287","310.7 (41,551,653)",897,"1,715,125","4.0 (386,971)","31,558"
