crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures
camino-1.2.2,"249,401","1,759,210","7.1 (158,595)","645,173","2.6 (16,445)","396,976","1.6 (1,955)","81,430,379","326.5 (14,889,885)","52,668,461","211.2 (15,901,705)",431,"724,254","2.9 (148,835)","13,791"
cc-1.2.63,"566,669","4,478,926","7.9 (473,940)","1,481,653","2.6 (49,335)","950,651","1.7 (5,865)","222,697,262","393.0 (42,045,045)","175,376,304","309.5 (48,614,340)","1,116","2,154,717","3.8 (444,645)","47,875"
colored-3.1.1,"5,752,919","47,118,848","8.2 (4,474,278)","15,258,064","2.7 (467,038)","9,569,859","1.7 (55,522)","2,742,621,863","476.7 (419,691,224)","13,428,426,789","2334.2 (3,289,938,996)","13,825","22,852,807","4.0 (4,197,094)","618,679"
concurrent-queue-2.5.0,"3,000,118","106,300,265","35.4 (43,074,374)","14,160,270","4.7 (1,083,000)","6,995,162","2.3 (200,002)","1,092,393,338","364.1 (256,095,376)","9,551,234,748","3183.6 (3,384,374,597)","6,753","85,862,090","28.6 (42,667,026)","326,524"
const-oid-0.10.2,"3,300,569","21,062,767","6.4 (824,382)","8,746,542","2.7 (105,961)","5,313,726","1.6 (25,160)","1,122,992,325","340.2 (264,018,522)","1,822,650,067","552.2 (175,887,080)","6,805","9,985,721","3.0 (773,630)","746,403"
core-foundation-sys-0.8.7,"34,135","263,201","7.7 (31,707)","86,965","2.5 (3,289)","56,755",1.7 (391),"14,190,822","415.7 (2,998,603)","10,242,685","300.1 (3,190,945)",71,"134,217","3.9 (29,755)","2,487"
cpufeatures-0.3.0,"68,250","527,132","7.7 (63,438)","173,771","2.5 (6,578)","113,450",1.7 (782),"27,694,755","405.8 (6,006,738)","20,499,968","300.4 (6,392,562)",142,"276,576","4.1 (59,534)","4,971"
crc32fast-1.5.0,"8,494,965","115,219,892","13.6 (10,713,656)","38,115,635","4.5 (9,469,856)","19,350,432","2.3 (4,056,270)","4,717,501,037","555.3 (1,477,834,258)","3,489,367,557","410.8 (999,048,157)","31,107","48,199,095","5.7 (10,713,566)","2,371,083"
crossbeam-channel-0.5.15,"89,246,919","1,668,003,819","18.7 (86,554,751)","263,675,223","3.0 (1,493,966)","152,011,809","1.7 (330,003)","30,497,296,232","341.7 (2,639,564,144)","776,605,791,698","8701.8 (144,353,848,625)","202,370","1,082,182,756","12.1 (86,554,197)","11,524,567"
crossbeam-deque-0.8.6,"1,220,572","29,784,235","24.4 (4,849,965)","8,219,681","6.7 (509,576)","3,935,068","3.2 (198,304)","12,417,452,057","10173.5 (1,483,898,594)","8,439,334,296","6914.2 (4,563,773,679)","72,001","30,975,924","25.4 (4,849,751)","251,533"
