crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures
encoding_rs-0.8.35,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
erased-serde-0.4.10,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
errno-0.3.14,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
event-listener-5.4.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
event-listener-strategy-0.5.4,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
fixedbitset-0.5.7,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
futures-task-0.3.32,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
futures-util-0.3.32,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
generic-array-1.4.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
generic-array-1.4.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
getrandom-0.4.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
gimli-0.33.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
half-2.7.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
hashbrown-0.17.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
hashlink-0.11.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
hostname-0.4.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
http-body-1.0.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
httparse-1.10.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
hyper-1.10.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
indexmap-2.14.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
inout-0.2.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
is-terminal-0.4.17,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
itertools-0.14.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
itoa-1.0.18,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
lazycell-1.3.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
libc-0.2.186,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
linked-hash-map-0.5.6,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
log-0.4.30,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
lru-0.18.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
matchers-0.2.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
memchr-2.8.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
minimal-lexical-0.2.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
nu-ansi-term-0.50.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
num-complex-0.4.6,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
object-0.39.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
once_cell-1.21.4,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
ordered-float-5.3.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
parking_lot_core-0.9.12,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
pem-rfc7468-1.0.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
percent-encoding-2.3.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
petgraph-0.8.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
ppv-lite86-0.2.21,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
predicates-3.1.4,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
proc-macro2-1.0.106,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
quinn-udp-0.6.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
r-efi-6.0.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
radium-1.1.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
rand-0.10.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
redox_syscall-0.8.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
rustversion-1.0.22,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
ryu-1.0.23,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
scopeguard-1.2.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
semver-1.0.28,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
serde_bytes-0.11.19,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
serde_core-1.0.228,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
serde_json-1.0.150,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
serde_with-3.20.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
shlex-2.0.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
siphasher-1.0.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
slab-0.4.12,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
smallvec-1.15.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
socket2-0.6.4,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
spin-0.12.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
subtle-2.6.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
tempfile-3.27.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
thread_local-1.1.9,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
tinystr-0.8.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
tokio-stream-0.1.18,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
tower-http-0.6.11,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
tracing-core-0.1.36,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
tracing-log-0.2.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
tungstenite-0.29.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
twox-hash-2.1.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
unicode-bidi-0.3.18,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
unicode-normalization-0.1.25,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
url-2.5.8,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
urlencoding-2.1.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
utf8_iter-1.0.4,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
utf8parse-0.2.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
uuid-1.23.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
which-8.0.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
writeable-0.6.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
yansi-1.0.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
yoke-0.8.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
zerocopy-0.8.50,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
zeroize-1.8.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
