crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures,memory_kinds
addr2line-0.26.1,"34,091","269,470","7.9 (32,187)","86,890","2.5 (3,289)","56,742",1.7 (391),"10,085,441","295.8 (2,353,941)","3,197,517","93.8 (644,225)",58,"110,430","3.2 (30,487)",0,{}
alloc-no-stdlib-2.0.4,"307,992","2,435,361","7.9 (32,199)","787,910","2.6 (3,289)","530,690","1.7 (8,192)","91,035,765","295.6 (2,325,432)","29,221,086","94.9 (644,225)",522,"992,351","3.2 (30,499)",0,{}
alloc-stdlib-0.2.2,"377,164","3,104,189","8.2 (65,537)","989,363","2.6 (12,290)","670,366","1.8 (8,218)","116,496,885","308.9 (2,780,327)","55,947,151","148.3 (12,169,525)",668,"1,327,478","3.5 (63,942)",0,{}
ansi_term-0.12.1,"2,410,487","19,570,839","8.1 (472,788)","6,736,701","2.8 (139,431)","4,169,371","1.7 (14,990)","768,656,307","318.9 (53,625,624)","461,103,443","191.3 (42,277,388)","4,598","8,579,126","3.6 (472,212)",0,{}
anstream-1.0.0,"345,590","2,720,818","7.9 (31,977)","887,472","2.6 (3,289)","581,329",1.7 (391),"102,731,300","297.3 (2,322,104)","32,623,649","94.4 (641,904)",587,"1,095,623","3.2 (30,277)",0,{}
anstyle-1.0.14,"275,717","2,172,265","7.9 (32,187)","704,220","2.6 (3,289)","460,541",1.7 (391),"81,433,454","295.4 (2,360,456)","25,683,523","93.2 (642,202)",464,"882,469","3.2 (30,487)",0,{}
anstyle-query-1.1.5,"102,154","807,114","7.9 (31,977)","260,629","2.6 (3,289)","170,263",1.7 (391),"30,305,997","296.7 (2,351,687)","9,538,692","93.4 (644,143)",174,"330,622","3.2 (30,277)",0,{}
anyhow-1.0.102,"2,216,839","17,604,248","7.9 (31,585)","5,663,944","2.6 (3,289)","3,703,119",1.7 (391),"656,678,734","296.2 (2,197,961)","213,832,863","96.5 (644,825)","3,818","7,305,578","3.3 (29,929)",0,{}
arc-swap-1.9.1,"2,363,342","16,060,077","6.8 (207,114)","5,690,056","2.4 (13,567)","3,609,606","1.5 (3,835)","514,277,236","217.6 (2,345,599)","182,593,365","77.3 (2,495,475)","3,005","6,695,192","2.8 (207,044)",0,{}
arrayvec-0.7.6,"1,753,182","13,876,440","7.9 (86,054)","4,556,111","2.6 (12,290)","2,989,468","1.7 (8,195)","482,178,694","275.0 (18,605,044)","228,094,582","130.1 (52,709,069)","3,027","5,793,430","3.3 (85,642)",0,{}
async-lock-3.4.2,"1,543,241","11,932,781","7.7 (1,715,739)","3,782,123","2.5 (51,525)","2,496,044","1.6 (1,536)","313,318,425","203.0 (4,447,605)","120,366,591","78.0 (8,669,657)","1,815","5,717,383","3.7 (1,714,336)",0,{}
async-trait-0.1.89,"137,234","1,083,706","7.9 (32,187)","350,428","2.6 (3,289)","228,592",1.7 (391),"40,486,345","295.0 (2,337,529)","12,913,961","94.1 (644,656)",232,"442,573","3.2 (30,487)",0,{}
atomic-waker-1.1.2,"34,670","275,435","7.9 (32,187)","88,097","2.5 (3,289)","57,511",1.7 (391),"10,160,746","293.1 (2,354,128)","3,245,227","93.6 (644,726)",58,"111,731","3.2 (30,487)",0,{}
base16ct-1.0.0,"344,916","2,719,446","7.9 (32,187)","883,283","2.6 (3,289)","577,323",1.7 (391),"100,953,161","292.7 (2,306,909)","32,202,444","93.4 (641,683)",580,"1,099,955","3.2 (30,487)",0,{}
