crate,rust_total_s,rust_n,miri_total_s,miri_n,bsan_total_s,bsan_n
socket2-0.6.4,0.471968,10,12.745796,10,10.081624,10
thread_local-1.1.9,1.836877,8,12.235438,8,8.787116,8
dirs-sys-next-0.1.2,0.488020,9,11.271810,9,9.272462,9
radium-1.1.1,0.384315,9,10.941738,9,9.590861,9
dirs-sys-0.5.0,0.496969,9,10.909956,9,9.262260,9
libc-0.2.186,,0,,0,10.592503,6
hostname-0.4.2,,0,,0,10.592484,4
urlencoding-2.1.3,0.319878,9,9.851488,9,8.840351,9
anstyle-1.0.14,1.121873,8,9.232068,8,7.457826,8
shlex-2.0.1,0.228862,7,8.967639,7,7.849869,7
scopeguard-1.2.0,0.457661,8,8.818080,8,7.999025,8
async-trait-0.1.89,0.600927,4,8.680518,4,7.292862,4
either-1.16.0,0.380770,7,8.046463,7,7.466248,7
rustversion-1.0.22,0.266078,2,7.054628,2,6.866758,2
bumpalo-3.20.3,1.019167,5,6.981821,5,5.607683,5
cpufeatures-0.3.0,0.102431,2,6.957274,2,6.868859,2
r-efi-6.0.0,0.143773,4,6.470109,4,3.980306,4
is-terminal-0.4.17,0.440071,6,6.465265,6,6.177309,6
quinn-udp-0.6.1,,0,,0,5.420154,3
generic-array-1.4.2,0.836712,3,4.683261,3,3.383152,3
generic-array-1.4.3,0.811618,3,4.569388,3,3.266691,3
errno-0.3.14,,0,,0,4.370925,4
event-listener-strategy-0.5.4,0.223998,2,4.020226,2,3.879406,2
http-body-1.0.1,0.098550,2,3.590282,2,3.958574,2
serde_core-1.0.228,0.055984,1,3.163414,1,1.124094,1
anstyle-query-1.1.5,0.130335,3,3.079326,3,2.780393,3
futures-util-0.3.32,0.181069,1,2.984433,1,1.173337,1
hyper-1.10.1,0.410915,2,2.374266,2,2.102789,2
ppv-lite86-0.2.21,,0,2.287843,2,,0
utf8_iter-1.0.4,0.073117,2,2.083854,2,2.205599,2
atomic-waker-1.1.2,0.257822,1,1.997054,1,1.920626,1
inout-0.2.2,0.047716,1,1.845888,1,1.987308,1
redox_syscall-0.8.0,0.060355,1,1.805277,1,1.020079,1
addr2line-0.26.1,0.317425,1,1.584617,1,,0
futures-task-0.3.32,0.038846,1,1.076930,1,0.949910,1
core-foundation-sys-0.8.7,,0,,0,1.042107,1
