crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,memory_kinds
bumpalo-3.20.3,"511,882","1,471,419","2.9 (140,453)","859,483","1.7 (30,002)","657,467","1.3 (10,001)","18,706,466","36.5 (2,167,373)","17,180,145","33.6 (4,133,737)",358,"637,089","1.2 (140,365)","{""Machine(Global)"":1175}"
bytemuck-1.25.0,"614,808","1,945,569","3.2 (14,395)","895,132","1.5 (1,778)","694,978",1.1 (810),"54,250,959","88.2 (1,704,757)","16,851,313","27.4 (628,325)",238,"589,896","1.0 (13,964)","{""Machine(Global)"":1986}"
byteorder-1.5.0,"2,228,773","7,251,287","3.3 (291,561)","3,209,963","1.4 (28,059)","2,584,741","1.2 (16,656)","194,320,050","87.2 (15,477,834)","60,208,462","27.0 (17,258,915)",867,"2,151,940","1.0 (291,369)","{""Machine(Global)"":2973}"
bytes-1.11.1,"26,493,714","83,304,529","3.1 (819,971)","42,049,862","1.6 (78,939)","30,217,309","1.1 (46,866)","4,476,187,167","169.0 (43,564,224)","2,711,014,679","102.3 (138,111,370)","8,615","26,563,230","1.0 (819,779)","{""Machine(Global)"":10318}"
camino-1.2.2,"430,248","1,565,114","3.6 (33,310)","639,079","1.5 (3,236)","516,323",1.2 (297),"143,353,812","333.2 (11,359,578)","20,177,224","46.9 (1,602,823)",137,"507,645","1.2 (33,309)","{""Machine(Global)"":1761}"
cc-1.2.63,"239,638","935,566","3.9 (79,738)","372,767","1.6 (6,116)","280,597","1.2 (3,237)","113,043,339","471.7 (68,513,632)","48,427,543","202.1 (37,772,607)",102,"418,369","1.7 (77,703)","{""Machine(Global)"":670}"
cexpr-0.6.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),{}
chrono-0.4.44,"80,286","264,831","3.3 (12,327)","117,745","1.5 (1,478)","99,869",1.2 (593),"5,692,793","70.9 (1,647,285)","5,900,021","73.5 (1,483,599)",24,"112,200","1.4 (11,448)","{""Machine(Global)"":775}"
clap_lex-1.1.0,"55,160","183,324","3.3 (12,327)","79,515","1.4 (1,453)","63,541",1.2 (126),"9,765,605","177.0 (1,632,397)","1,979,816","35.9 (606,700)",17,"46,806","0.8 (11,510)","{""Machine(Global)"":460}"
cmake-0.1.58,"39,629","121,858","3.1 (12,327)","57,557","1.5 (1,453)","43,984",1.1 (40),"3,733,229","94.2 (1,635,634)","1,192,407","30.1 (601,689)",15,"38,443","1.0 (11,487)","{""Machine(Global)"":177}"
colored-3.1.1,"598,388","1,902,771","3.2 (111,123)","867,138","1.4 (10,920)","688,585","1.2 (5,605)","50,607,470","84.6 (6,840,930)","14,949,314","25.0 (1,544,003)",230,"605,776","1.0 (111,120)","{""Machine(Global)"":706}"
combine-4.6.7,"908,361","2,858,096","3.1 (42,347)","1,290,621","1.4 (4,065)","1,036,417","1.1 (2,406)","124,784,742","137.4 (12,631,724)","28,163,853","31.0 (2,472,375)",285,"730,900","0.8 (41,664)","{""Machine(Global)"":4133}"
concurrent-queue-2.5.0,"2,715,480","9,576,300","3.5 (342,416)","4,490,020","1.7 (169,561)","3,957,631","1.5 (10,745)","101,399,002","37.3 (5,773,659)","129,616,208","47.7 (53,694,328)","1,375","4,812,305","1.8 (342,350)","{""Machine(Global)"":1273}"
console-0.16.3,"47,112","145,556","3.1 (12,327)","68,345","1.5 (1,453)","52,954",1.1 (97),"4,218,848","89.5 (1,675,133)","1,265,170","26.9 (595,855)",17,"43,855","0.9 (11,305)","{""Machine(Global)"":220}"
constant_time_eq-0.5.0,"199,094","627,392","3.2 (12,327)","289,954","1.5 (1,453)","224,079",1.1 (126),"19,419,975","97.5 (1,632,397)","6,214,893","31.2 (606,700)",75,"189,382","1.0 (11,530)","{""Machine(Global)"":887}"
const-oid-0.10.2,"327,712","1,003,881","3.1 (20,389)","480,817","1.5 (1,949)","374,390","1.1 (1,152)","26,579,835","81.1 (1,675,133)","7,357,970","22.5 (611,298)",123,"307,471","0.9 (19,541)","{""Machine(Global)"":936}"
core-foundation-0.10.1,"43,278","134,876","3.1 (12,327)","63,099","1.5 (1,453)","49,441",1.1 (91),"4,032,617","93.2 (1,665,237)","1,314,378","30.4 (565,873)",15,"40,963","0.9 (10,925)","{""Machine(Global)"":233}"
core-foundation-sys-0.8.7,"43,883","136,437","3.1 (12,327)","63,552","1.4 (1,453)","48,834",1.1 (183),"4,021,896","91.7 (1,626,021)","1,254,763","28.6 (601,624)",17,"43,106","1.0 (11,544)","{""Machine(Global)"":176}"
cpufeatures-0.3.0,"164,377","514,019","3.1 (12,327)","238,912","1.5 (1,453)","183,413",1.1 (240),"15,420,104","93.8 (1,635,634)","4,980,034","30.3 (606,700)",64,"161,595","1.0 (11,530)","{""Machine(Global)"":582}"
crc32fast-1.5.0,"4,546,391","16,907,875","3.7 (750,289)","8,014,221","1.8 (388,649)","6,096,052","1.3 (166,435)","577,938,307","127.1 (52,927,909)","1,776,428,840","390.7 (941,639,036)","2,481","5,517,004","1.2 (750,288)","{""Machine(Global)"":284}"
criterion-0.8.2,"435,975","1,117,295","2.6 (39,327)","607,218","1.4 (2,525)","558,486",1.3 (496),"36,728,129","84.2 (7,733,692)","20,386,441","46.8 (9,880,873)",124,"225,103","0.5 (39,326)","{""Machine(Global)"":315}"
crossbeam-channel-0.5.15,"59,389,494","146,662,092","2.5 (295,236)","98,316,542","1.7 (39,763)","79,995,541","1.3 (17,402)","2,023,004,413","34.1 (23,043,673)","2,099,222,821","35.3 (17,555,051)","19,009","36,742,009","0.6 (295,196)","{""Machine(Global)"":7164}"
