build,crate,status,compile_seconds,run_seconds,timestamp,job_id
base-miri,pem-rfc7468-1.0.0,success,1.182,13.349,2026-06-12T15:50:34Z,1801249
base-miri,minimal-lexical-0.2.1,success,2.456,31.928,2026-06-12T15:50:34Z,1801230
base-miri,openssl-sys-0.9.116,success,7.163,1.844,2026-06-12T15:50:31Z,1801244
base-miri,h2-0.4.14,test_failed,99.430,33.840,2026-06-12T15:50:34Z,1801183
base-miri,percent-encoding-2.3.2,success,1.211,5.628,2026-06-12T15:50:46Z,1801250
base-miri,openssl-0.10.80,test_failed,15.285,7.045,2026-06-12T15:50:43Z,1801242
base-miri,pin-project-lite-0.2.17,success,2.841,8.836,2026-06-12T15:50:50Z,1801253
base-miri,polling-3.11.0,test_failed,7.070,2.270,2026-06-12T15:50:50Z,1801255
base-miri,portable-atomic-1.13.1,test_failed,7.010,4.209,2026-06-12T15:50:51Z,1801256
base-miri,once_cell-1.21.4,success,6.615,27.745,2026-06-12T15:50:55Z,1801241
base-miri,os_str_bytes-7.2.0,test_failed,8.893,10.641,2026-06-12T15:50:53Z,1801246
base-miri,hashbrown-0.17.1,success,34.893,131.092,2026-06-12T15:51:01Z,1801185
base-miri,matchit-0.9.2,test_failed,44.272,21.418,2026-06-12T15:50:59Z,1801226
base-miri,pin-project-1.1.13,success,11.696,15.943,2026-06-12T15:51:07Z,1801252
base-miri,native-tls-0.2.18,test_failed,32.449,2.041,2026-06-12T15:51:00Z,1801232
base-miri,ppv-lite86-0.2.21,success,5.409,1.628,2026-06-12T15:51:10Z,1801259
base-miri,pyo3-ffi-0.28.3,build_failed,2.816,0.000,2026-06-12T15:51:12Z,1801265
base-miri,powerfmt-0.2.0,success,8.746,2.414,2026-06-12T15:51:12Z,1801258
base-miri,itertools-0.14.0,success,30.336,88.556,2026-06-12T15:51:19Z,1801208
base-miri,radium-1.1.1,success,1.163,3.272,2026-06-12T15:51:25Z,1801268
base-miri,predicates-3.1.4,test_failed,9.336,20.680,2026-06-12T15:51:33Z,1801260
base-miri,proc-macro2-1.0.106,test_failed,12.500,21.897,2026-06-12T15:51:38Z,1801262
base-miri,r-efi-6.0.0,success,1.475,3.171,2026-06-12T15:51:44Z,1801273
base-miri,pyo3-0.28.3,build_failed,6.878,0.000,2026-06-12T15:51:39Z,1801264
base-miri,potential_utf-0.1.5,test_failed,10.857,1.446,2026-06-12T15:51:43Z,1801257
base-miri,prost-0.14.3,test_failed,37.890,5.438,2026-06-12T15:51:49Z,1801263
base-miri,plotters-0.3.7,test_failed,49.526,3.450,2026-06-12T15:51:48Z,1801254
base-miri,redox_syscall-0.8.0,success,2.461,2.817,2026-06-12T15:51:59Z,1801272
base-miri,rustls-pki-types-1.14.1,build_failed,4.567,0.000,2026-06-12T15:52:04Z,1801282
base-miri,ring-0.17.14,test_failed,8.592,0.604,2026-06-12T15:52:13Z,1801278
base-miri,quinn-udp-0.6.1,test_failed,42.238,3.507,2026-06-12T15:52:21Z,1801267
base-miri,indexmap-2.14.0,success,14.968,191.780,2026-06-12T15:52:31Z,1801203
base-miri,quinn-proto-0.11.14,test_failed,58.517,6.098,2026-06-12T15:52:32Z,1801266
base-miri,rustix-1.1.4,test_failed,18.925,1.911,2026-06-12T15:52:37Z,1801279
base-miri,schannel-0.1.29,success,4.205,1.454,2026-06-12T15:52:50Z,1801301
base-miri,same-file-1.0.6,test_failed,13.480,3.308,2026-06-12T15:52:50Z,1801299
base-miri,rustversion-1.0.22,success,33.327,4.557,2026-06-12T15:52:52Z,1801283
base-miri,scopeguard-1.2.0,success,3.247,7.887,2026-06-12T15:52:53Z,1801303
base-miri,ryu-1.0.23,success,4.964,16.495,2026-06-12T15:52:58Z,1801298
base-miri,serde-1.0.228,success,6.297,1.936,2026-06-12T15:53:08Z,1801306
base-miri,serde_core-1.0.228,test_failed,12.790,9.901,2026-06-12T15:53:21Z,1801308
base-miri,serde_bytes-0.11.19,success,19.098,5.954,2026-06-12T15:53:28Z,1801307
base-miri,bytes-1.11.1,success,5.908,428.824,2026-06-12T15:53:24Z,1801095
base-miri,sharded-slab-0.1.7,fetch_failed,0.000,0.000,2026-06-12T15:53:39Z,1801316
base-miri,ordered-float-5.3.0,test_failed,13.774,95.477,2026-06-12T15:53:27Z,1801245
base-miri,semver-1.0.28,success,1.407,17.228,2026-06-12T15:53:35Z,1801305
