build,crate,status,compile_seconds,run_seconds,timestamp,job_id
rust,libloading-0.9.0,success,5.160,44.462,2026-06-10T18:57:20Z,1790945
rust,object-0.39.1,test_failed,12.710,0.085,2026-06-10T18:57:23Z,1790970
rust,openssl-probe-0.2.1,success,8.649,0.113,2026-06-10T18:57:25Z,1790973
rust,num-bigint-0.4.6,success,10.834,2.253,2026-06-10T18:57:27Z,1790966
rust,gimli-0.33.0,success,70.508,0.378,2026-06-10T18:57:25Z,1790912
rust,percent-encoding-2.3.2,success,1.863,0.044,2026-06-10T18:57:31Z,1790981
rust,pem-rfc7468-1.0.0,success,2.334,0.051,2026-06-10T18:57:32Z,1790980
rust,pin-project-lite-0.2.17,build_failed,3.398,0.000,2026-06-10T18:57:34Z,1790984
rust,once_cell-1.21.4,test_failed,10.268,12.780,2026-06-10T18:57:34Z,1790971
rust,ppv-lite86-0.2.21,success,4.259,0.051,2026-06-10T18:57:35Z,1790990
rust,powerfmt-0.2.0,success,4.929,0.061,2026-06-10T18:57:35Z,1790989
rust,nix-0.31.3,build_failed,14.427,0.000,2026-06-10T18:57:33Z,1790963
rust,potential_utf-0.1.5,build_failed,6.274,0.000,2026-06-10T18:57:37Z,1790988
rust,ordered-float-5.3.0,success,10.615,0.129,2026-06-10T18:57:33Z,1790975
rust,itertools-0.14.0,success,51.709,18.967,2026-06-10T18:57:34Z,1790938
rust,prettyplease-0.2.37,success,8.729,0.932,2026-06-10T18:57:39Z,1790992
rust,r-efi-6.0.0,success,1.837,0.042,2026-06-10T18:57:42Z,1791004
rust,predicates-3.1.4,success,11.025,0.091,2026-06-10T18:57:41Z,1790991
rust,radium-1.1.1,success,1.744,0.049,2026-06-10T18:57:42Z,1790999
rust,portable-atomic-1.13.1,build_failed,9.848,0.000,2026-06-10T18:57:42Z,1790987
rust,pyo3-ffi-0.28.3,build_failed,2.604,0.000,2026-06-10T18:57:45Z,1790996
rust,pin-project-1.1.13,build_failed,14.327,0.000,2026-06-10T18:57:46Z,1790983
rust,memchr-2.8.1,success,24.882,13.763,2026-06-10T18:57:49Z,1790957
rust,parking_lot_core-0.9.12,success,7.335,29.550,2026-06-10T18:57:52Z,1790979
