crate,trees,nodes,avg_nodes,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
byteorder-1.5.0,556333,5578847,10.03,1194260,2.15,996353,1.79,189157251,340.01,60208462,108.22,2151940,3.87
bytes-1.11.1,8294642,65105457,7.85,19024678,2.29,13468339,1.62,4418737432,532.72,2711014679,326.84,26563230,3.2
camino-1.2.2,138328,1273194,9.2,279041,2.02,223659,1.62,142420432,1029.58,20177224,145.87,507645,3.67
cc-1.2.63,67272,763200,11.34,148990,2.21,109748,1.63,112483895,1672.08,48427543,719.88,418369,6.22
chrono-0.4.44,20232,204777,10.12,47661,2.36,37018,1.83,5501535,271.92,5900021,291.62,112200,5.55
clap_lex-1.1.0,13914,142078,10.21,28786,2.07,22047,1.58,9634675,692.44,1979816,142.29,46806,3.36
cmake-0.1.58,9132,91361,10.0,20083,2.2,13521,1.48,3636007,398.16,1192407,130.57,38443,4.21
colored-3.1.1,154726,1459109,9.43,338051,2.18,270441,1.75,49245656,318.28,14949314,96.62,600654,3.88
combine-4.6.7,221476,2171211,9.8,464049,2.1,374410,1.69,122659259,553.83,28163853,127.16,730900,3.3
concurrent-queue-2.5.0,932485,7793305,8.36,2009297,2.15,1883806,2.02,95273912,102.17,129616208,139.0,4812305,5.16
console-0.16.3,11130,109574,9.84,24501,2.2,17182,1.54,4104702,368.8,1265170,113.67,43855,3.94
const-oid-0.10.2,77064,753233,9.77,169268,2.2,126067,1.64,25782642,334.56,7357970,95.48,307471,3.99
constant_time_eq-0.5.0,46803,475101,10.15,103261,2.21,70508,1.51,18933406,404.53,6214893,132.79,189382,4.05
core-foundation-0.10.1,10177,101775,10.0,22894,2.25,15899,1.56,3926941,385.86,1314378,129.15,40963,4.03
core-foundation-sys-0.8.7,10232,102786,10.05,22560,2.2,15439,1.51,3915221,382.64,1254763,122.63,43106,4.21
cpufeatures-0.3.0,38052,387694,10.19,84747,2.23,57050,1.5,15018201,394.68,4980034,130.87,161595,4.25
crc32fast-1.5.0,1503442,13864926,9.22,4138439,2.75,3191724,2.12,568215684,377.94,1776428840,1181.57,5517004,3.67
criterion-0.8.2,140495,821815,5.85,236069,1.68,258656,1.84,35767979,254.59,20386441,145.1,224777,1.6
crossbeam-channel-0.5.15,10448704,97721302,9.35,30250845,2.9,22458983,2.15,1852847683,177.33,2099222821,200.91,36742009,3.52
crossbeam-epoch-0.9.18,138319,867493,6.27,220125,1.59,234567,1.7,16041555,115.98,13308338,96.21,327292,2.37
crossbeam-queue-0.3.12,976198,9770332,10.01,3113414,3.19,2251208,2.31,113195434,115.96,229196563,234.78,5234948,5.36
crossbeam-utils-0.8.21,546814,3547083,6.49,933021,1.71,1045447,1.91,79603872,145.58,53987775,98.73,1279264,2.34
crypto-bigint-0.7.3,9100995,99389856,10.92,32941534,3.62,24932653,2.74,5806323273,637.99,1841924056,202.39,27004012,2.97
csv-1.4.0,628514,8313870,13.23,2550804,4.06,1465728,2.33,416423755,662.55,14660840488,23326.2,4425052,7.04
dashmap-6.2.1,170195,2266115,13.31,832944,4.89,543661,3.19,44363529,260.66,561816392,3301.02,1272266,7.48
data-encoding-2.11.0,40304,399737,9.92,97108,2.41,70672,1.75,68670653,1703.82,355569574,8822.19,142038,3.52
der-0.8.0,142754,1309716,9.17,301042,2.11,254078,1.78,44298097,310.31,10482742,73.43,512376,3.59
dirs-sys-0.5.0,65401,497346,7.6,146386,2.24,108502,1.66,32882664,502.79,10380855,158.73,209306,3.2
dirs-sys-next-0.1.2,65049,487813,7.5,143786,2.21,107189,1.65,33169926,509.92,10207718,156.92,208428,3.2
dyn-clone-1.0.20,46790,472402,10.1,104415,2.23,72680,1.55,17333533,370.45,5488116,117.29,192776,4.12
either-1.16.0,29303,260336,8.88,57435,1.96,48701,1.66,8656853,295.43,3177722,108.44,76795,2.62
encoding_rs-0.8.35,4356356,39267610,9.01,13295783,3.05,7681395,1.76,2348806207,539.17,30869853330,7086.16,16289666,3.74
erased-serde-0.4.10,77782,757689,9.74,169963,2.19,126627,1.63,28258955,363.31,8216473,105.63,309932,3.98
errno-0.3.14,16449,167191,10.16,37589,2.29,26399,1.6,11528214,700.85,132618247,8062.39,70942,4.31
event-listener-5.4.1,58048,548655,9.45,121573,2.09,96937,1.67,18026915,310.55,5226551,90.04,179430,3.09
event-listener-strategy-0.5.4,22982,228064,9.92,50272,2.19,35572,1.55,8351629,363.4,2678755,116.56,86007,3.74
filetime-0.2.29,11009,107671,9.78,24087,2.19,16982,1.54,3978869,361.42,1234679,112.15,43948,3.99
find-msvc-tools-0.1.9,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
fixedbitset-0.5.7,1029663,8465980,8.22,3184929,3.09,2333859,2.27,188443288,183.01,1949195194,1893.04,2707030,2.63
foldhash-0.2.0,9571,94853,9.91,20852,2.18,14419,1.51,3650903,381.45,1220645,127.54,37947,3.96
foreign-types-0.5.0,18180,184023,10.12,40120,2.21,27127,1.49,7216062,396.92,2426935,133.49,75786,4.17
foreign-types-shared-0.3.1,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
form_urlencoded-1.2.2,466,3984,8.55,888,1.91,723,1.55,295743,634.64,23333,50.07,0,0.0
futures-channel-0.3.32,10381,104571,10.07,23044,2.22,15759,1.52,3966784,382.12,1274861,122.81,42856,4.13
futures-core-0.3.32,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
futures-executor-0.3.32,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
futures-sink-0.3.32,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
futures-task-0.3.32,10697,106280,9.94,23386,2.19,16202,1.51,3964484,370.62,1259947,117.79,42594,3.98
futures-util-0.3.32,10941,108803,9.94,24067,2.2,16622,1.52,4058504,370.94,1295118,118.37,44731,4.09
generic-array-1.4.2,16092,148139,9.21,32703,2.03,26133,1.62,4915531,305.46,1401136,87.07,53921,3.35
generic-array-1.4.3,16092,148139,9.21,32703,2.03,26133,1.62,4915531,305.46,1401136,87.07,53921,3.35
getrandom-0.4.2,381020,4409008,11.57,887679,2.33,870097,2.28,174752014,458.64,80384448,210.97,923522,2.42
gimli-0.33.0,8666988,111689905,12.89,29315364,3.38,22375150,2.58,7648108185,882.44,14812573082,1709.08,59159762,6.83
h2-0.4.14,249804,2456305,9.83,631216,2.53,415634,1.66,100212537,401.16,51393780,205.74,740204,2.96
half-2.7.1,216262,1686949,7.8,436777,2.02,376562,1.74,48073840,222.29,10378532,47.99,490832,2.27
