crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead
tracing-0.1.44,build_failed,,test_failed,2.718,,test_failed,1.938,1.402,,test_failed,1.714,1.586,
tracing-attributes-0.1.31,build_failed,,test_failed,0.919,,test_failed,1.028,0.894,,test_failed,0.987,0.931,
tracing-core-0.1.36,test_failed,0.059,test_failed,5.371,91.034,test_failed,5.224,1.028,88.542,test_failed,3.417,1.572,57.915
tracing-log-0.2.0,success,0.880,success,8.248,9.373,success,12.800,0.644,14.545,success,7.612,1.084,8.650
tracing-subscriber-0.3.23,build_failed,,test_failed,309.117,,test_failed,308.130,1.003,,test_failed,269.747,1.146,
try-lock-0.2.5,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
tungstenite-0.29.0,success,1.124,success,14.787,13.156,success,20.316,0.728,18.075,success,9.857,1.500,8.770
twox-hash-2.1.2,success,0.837,absent,,,success,222.440,,265.759,success,92.700,,110.753
unicode-bidi-0.3.18,success,0.557,absent,,,success,18.625,,33.438,success,19.579,,35.151
unicode-ident-1.0.24,test_failed,0.340,test_failed,865.320,2545.059,test_failed,1018.619,0.850,2995.938,test_failed,867.357,0.998,2551.050
unicode-normalization-0.1.25,success,0.403,success,639.554,1586.983,success,663.895,0.963,1647.382,success,631.085,1.013,1565.968
unsafe-libyaml-0.2.11,build_failed,,test_failed,2.371,,test_failed,2.954,0.803,,test_failed,1.743,1.360,
url-2.5.8,success,7.555,success,550.700,72.892,success,533.153,1.033,70.570,success,797.631,0.690,105.577
urlencoding-2.1.3,success,0.435,success,3.393,7.800,success,3.872,0.876,8.901,success,8.197,0.414,18.844
utf-8-0.7.6,success,0.654,success,9031.232,13809.223,success,9050.925,0.998,13839.335,success,8620.201,1.048,13180.735
utf8_iter-1.0.4,success,0.409,success,2.343,5.729,success,3.585,0.654,8.765,success,8.727,0.268,21.337
utf8parse-0.2.2,success,0.178,success,119.110,669.157,success,93.499,1.274,525.275,success,7.412,16.070,41.640
uuid-1.23.2,success,5.687,test_failed,17.804,3.131,test_failed,21.449,0.830,3.772,test_failed,17.504,1.017,3.078
wait-timeout-0.2.1,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
wasm-bindgen-0.2.122,success,0.643,success,1.075,1.672,success,3.923,0.274,6.101,success,1.360,0.790,2.115
web-sys-0.3.99,success,0.127,success,0.106,0.835,success,0.106,1.000,0.835,success,0.106,1.000,0.835
which-8.0.2,success,0.616,test_failed,3.247,5.271,test_failed,4.271,0.760,6.933,test_failed,3.639,0.892,5.907
winapi-0.3.9,success,0.189,success,1.736,9.185,success,1.445,1.201,7.646,success,1.221,1.422,6.460
winapi-util-0.1.11,success,0.193,success,3.239,16.782,success,1.620,1.999,8.394,success,2.699,1.200,13.984
windows-core-0.62.2,success,0.306,success,1.685,5.507,success,1.821,0.925,5.951,success,1.547,1.089,5.056
windows-result-0.4.1,test_failed,0.262,test_failed,1.901,7.256,test_failed,1.727,1.101,6.592,test_failed,2.507,0.758,9.569
windows-strings-0.5.1,test_failed,0.501,test_failed,4.054,8.092,test_failed,2.271,1.785,4.533,test_failed,2.153,1.883,4.297
windows-sys-0.61.2,success,0.039,success,0.070,1.795,success,0.216,0.324,5.538,success,0.067,1.045,1.718
winnow-1.0.3,success,27.382,test_failed,6.839,0.250,test_failed,7.007,0.976,0.256,test_failed,6.742,1.014,0.246
writeable-0.6.3,build_failed,,success,99.880,,success,99.821,1.001,,success,90.704,1.101,
xattr-1.6.1,test_failed,0.088,test_failed,2.273,25.830,test_failed,4.477,0.508,50.875,test_failed,1.993,1.140,22.648
yansi-1.0.1,success,33.277,success,56.947,1.711,success,53.138,1.072,1.597,success,56.256,1.012,1.691
yoke-0.8.2,test_failed,4.372,test_failed,9.480,2.168,test_failed,9.033,1.049,2.066,test_failed,9.157,1.035,2.094
zerocopy-0.8.50,success,11.364,success,317.421,27.932,success,312.278,1.016,27.480,success,330.351,0.961,29.070
zerocopy-derive-0.8.50,build_failed,,test_failed,1.102,,test_failed,0.760,1.450,,test_failed,0.794,1.388,
zeroize-1.8.2,success,2.012,success,5.210,2.589,success,11.477,0.454,5.704,success,4.783,1.089,2.377
zerotrie-0.2.4,build_failed,,test_failed,5.583,,test_failed,7.221,0.773,,test_failed,2.529,2.208,
zerovec-0.11.6,build_failed,,test_failed,1.693,,test_failed,6.422,0.264,,test_failed,1.771,0.956,
zerovec-derive-0.11.3,build_failed,,test_failed,0.644,,test_failed,3.063,0.210,,test_failed,0.542,1.188,
zip-8.6.0,success,29.036,test_failed,13301.723,458.111,test_failed,13090.826,1.016,450.848,test_failed,6623.238,2.008,228.104
zstd-0.13.3,build_failed,,test_failed,1.612,,test_failed,4.930,0.327,,test_failed,1.680,0.960,
zstd-safe-7.2.4,success,0.750,test_failed,1.773,2.364,test_failed,5.930,0.299,7.907,test_failed,1.970,0.900,2.627
zstd-sys-2.0.16+zstd.1.5.7,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
