crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead
core-foundation-0.10.1,build_failed,,test_failed,1.806,,test_failed,3.822,0.473,,test_failed,2.482,0.728,
core-foundation-sys-0.8.7,success,0.183,success,1.561,8.530,success,1.685,0.926,9.208,success,2.300,0.679,12.568
cpufeatures-0.3.0,success,0.439,success,5.051,11.506,success,4.648,1.087,10.588,success,5.616,0.899,12.793
crc32fast-1.5.0,success,0.941,test_failed,96.674,102.735,test_failed,90.969,1.063,96.673,test_failed,78.755,1.228,83.693
criterion-0.8.2,success,83.211,test_failed,8.210,0.099,test_failed,7.477,1.098,0.090,test_failed,7.041,1.166,0.085
crossbeam-channel-0.5.15,success,218.318,success,655.461,3.002,success,738.454,0.888,3.382,success,651.983,1.005,2.986
crossbeam-deque-0.8.6,success,15.740,test_failed,467.177,29.681,test_failed,485.890,0.961,30.870,test_failed,458.558,1.019,29.133
crossbeam-epoch-0.9.18,success,7.835,test_failed,8.702,1.111,test_failed,9.684,0.899,1.236,test_failed,7.804,1.115,0.996
crossbeam-queue-0.3.12,success,2299.735,success,63.465,0.028,success,60.707,1.045,0.026,success,56.393,1.125,0.025
crossbeam-utils-0.8.21,success,20.434,success,39.966,1.956,success,44.354,0.901,2.171,success,35.473,1.127,1.736
crypto-bigint-0.7.3,success,2.232,test_failed,975.874,437.220,test_failed,931.372,1.048,417.281,test_failed,1026.004,0.951,459.679
csv-1.4.0,success,15.699,test_failed,135.406,8.625,test_failed,128.276,1.056,8.171,test_failed,61.701,2.195,3.930
curve25519-dalek-4.1.3,success,187.492,success,190099.743,1013.909,success,198658.972,0.957,1059.560,success,183594.145,1.035,979.211
dashmap-6.2.1,success,15.410,fetch_failed,,,test_failed,17.774,,1.153,test_failed,16.941,,1.099
data-encoding-2.11.0,success,3.194,success,12.380,3.876,success,12.900,0.960,4.039,success,12.275,1.009,3.843
der-0.8.0,success,1.171,test_failed,10.772,9.199,test_failed,10.762,1.001,9.190,test_failed,10.432,1.033,8.909
deranged-0.5.8,build_failed,,test_failed,2.445,,test_failed,2.700,0.906,,test_failed,3.478,0.703,
dirs-sys-0.5.0,success,1.469,success,4.412,3.003,success,5.522,0.799,3.759,success,4.619,0.955,3.144
dirs-sys-next-0.1.2,success,0.413,success,4.273,10.346,success,4.128,1.035,9.995,success,5.014,0.852,12.140
