rank,crate,dots,trees,max_tree_size,color,in_legend
1,parking_lot_core-0.9.12,3200,29050945,3009101,#1f77b4,true
2,gimli-0.33.0,1270,26171927,4875312,#ff7f0e,true
3,crc32fast-1.5.0,1255,7617518,10745117,#2ca02c,true
4,fixedbitset-0.5.7,1013,2582766,627544,#d62728,true
5,const-oid-0.10.2,931,4083979,731127,#9467bd,true
6,encoding_rs-0.8.35,872,8705297,623485,#8c564b,true
7,serde_json-1.0.150,837,4938265,31597,#e377c2,true
8,url-2.5.8,732,280545624,1730600,#7f7f7f,true
9,serde_with-3.20.0,703,4314735,495605,#bcbd22,true
10,crossbeam-channel-0.5.15,675,7617221,318786,#17becf,true
11,matchers-0.2.0,674,3936368,379963,#aec7e8,true
12,petgraph-0.8.3,591,10134818,542277,#ffbb78,true
13,memchr-2.8.1,575,8506514,363825,#d1d1d1,false
14,hostname-0.4.2,502,1051443,1662693,#d1d1d1,false
15,bit-vec-0.9.1,500,3891111,1298435,#d1d1d1,false
16,unicode-bidi-0.3.18,496,1354792,32187,#d1d1d1,false
17,async-lock-3.4.2,453,1840878,1847383,#d1d1d1,false
18,ansi_term-0.12.1,444,2160321,472802,#d1d1d1,false
19,rand-0.10.1,440,4404738,1230001,#d1d1d1,false
20,colored-3.1.1,409,5100703,656265,#d1d1d1,false
21,once_cell-1.21.4,402,2529123,281068,#d1d1d1,false
22,bindgen-0.72.1,395,993447,205392,#d1d1d1,false
23,lru-0.18.0,382,4444205,2818580,#d1d1d1,false
24,tinystr-0.8.3,355,2239435,31977,#d1d1d1,false
25,which-8.0.2,345,886527,32187,#d1d1d1,false
26,semver-1.0.28,340,1030747,31977,#d1d1d1,false
27,tungstenite-0.29.0,337,1413244,32187,#d1d1d1,false
28,camino-1.2.2,328,225042,32187,#d1d1d1,false
29,bit-set-0.10.0,321,823192,367656,#d1d1d1,false
30,concurrent-queue-2.5.0,315,425881,482452,#d1d1d1,false
31,csv-1.4.0,313,5638426,63560,#d1d1d1,false
32,slab-0.4.12,313,1476829,31977,#d1d1d1,false
33,arc-swap-1.9.1,312,2189351,207587,#d1d1d1,false
34,half-2.7.1,302,1266797,32187,#d1d1d1,false
35,crossbeam-queue-0.3.12,294,439724,32187,#d1d1d1,false
36,spin-0.12.0,293,1208358,55551,#d1d1d1,false
37,shlex-2.0.1,286,235156,31599,#d1d1d1,false
38,unicode-normalization-0.1.25,285,11492917,17029237,#d1d1d1,false
39,uuid-1.23.2,285,1963212,52340,#d1d1d1,false
40,arrayvec-0.7.6,284,1566898,86054,#d1d1d1,false
41,object-0.39.1,284,645657,10631089,#d1d1d1,false
42,num-complex-0.4.6,280,2970424,31977,#d1d1d1,false
43,ordered-float-5.3.0,279,3454192,601596,#d1d1d1,false
44,linked-hash-map-0.5.6,276,791439,31977,#d1d1d1,false
45,subtle-2.6.1,263,965284,36755,#d1d1d1,false
46,base64ct-1.8.3,262,1493276,161924,#d1d1d1,false
47,tempfile-3.27.0,257,3593834,2330000,#d1d1d1,false
48,minimal-lexical-0.2.1,256,1141752,32187,#d1d1d1,false
49,cc-1.2.63,253,503541,75834,#d1d1d1,false
50,byteorder-1.5.0,248,10326847,31977,#d1d1d1,false
51,httparse-1.10.1,247,12277658,31585,#d1d1d1,false
52,pin-project-lite-0.2.17,247,639342,31977,#d1d1d1,false
53,thread_local-1.1.9,245,256171,32187,#d1d1d1,false
54,lazycell-1.3.0,241,865801,32187,#d1d1d1,false
55,yansi-1.0.1,241,231539,32187,#d1d1d1,false
56,crossbeam-deque-0.8.6,239,697310,32187,#d1d1d1,false
57,block-buffer-0.12.0,237,247068,32187,#d1d1d1,false
58,event-listener-5.4.1,237,336189,32187,#d1d1d1,false
59,anstream-1.0.0,236,310984,32165,#d1d1d1,false
60,dirs-sys-next-0.1.2,236,312040,32187,#d1d1d1,false
61,dirs-sys-0.5.0,235,311102,32187,#d1d1d1,false
62,bytes-1.11.1,234,28534123,31573,#d1d1d1,false
63,percent-encoding-2.3.2,233,569212,31977,#d1d1d1,false
64,ryu-1.0.23,233,912145,32187,#d1d1d1,false
65,alloc-stdlib-0.2.2,232,336562,65537,#d1d1d1,false
66,log-0.4.30,232,953206,32187,#d1d1d1,false
67,urlencoding-2.1.3,231,279649,32187,#d1d1d1,false
68,crossbeam-utils-0.8.21,229,1785961,32187,#d1d1d1,false
69,siphasher-1.0.3,229,402063,31977,#d1d1d1,false
70,tracing-core-0.1.36,229,763684,32187,#d1d1d1,false
71,predicates-3.1.4,228,588161,32187,#d1d1d1,false
72,itoa-1.0.18,227,337377,32187,#d1d1d1,false
73,alloc-no-stdlib-2.0.4,224,275303,32187,#d1d1d1,false
74,anyhow-1.0.102,224,1986108,32165,#d1d1d1,false
75,itertools-0.14.0,222,4809062,31597,#d1d1d1,false
76,quinn-udp-0.6.1,220,326641,32165,#d1d1d1,false
77,scopeguard-1.2.0,220,246133,32187,#d1d1d1,false
78,base16ct-1.0.0,219,307595,31977,#d1d1d1,false
79,async-trait-0.1.89,215,122767,32187,#d1d1d1,false
80,indexmap-2.14.0,215,5174266,31597,#d1d1d1,false
81,r-efi-6.0.0,215,134798,31977,#d1d1d1,false
82,radium-1.1.1,215,274841,32094,#d1d1d1,false
83,serde_bytes-0.11.19,215,123113,32187,#d1d1d1,false
84,smallvec-1.15.1,215,1836460,32187,#d1d1d1,false
85,tower-http-0.6.11,215,278179,32187,#d1d1d1,false
86,anstyle-1.0.14,214,245857,31599,#d1d1d1,false
87,dyn-clone-1.0.20,214,207119,32187,#d1d1d1,false
88,either-1.16.0,214,215805,32165,#d1d1d1,false
89,is-terminal-0.4.17,214,183619,32187,#d1d1d1,false
90,rustversion-1.0.22,214,62226,32187,#d1d1d1,false
91,pin-project-1.1.13,213,1049704,32187,#d1d1d1,false
92,socket2-0.6.4,213,306157,32165,#d1d1d1,false
93,errno-0.3.14,212,122143,31599,#d1d1d1,false
94,proc-macro2-1.0.106,211,1981069,31977,#d1d1d1,false
95,redox_syscall-0.8.0,211,31219,31977,#d1d1d1,false
96,bumpalo-3.20.3,210,152966,32187,#d1d1d1,false
97,nu-ansi-term-0.50.3,210,2032594,31977,#d1d1d1,false
98,yoke-0.8.2,210,350710,32187,#d1d1d1,false
99,utf8parse-0.2.2,209,153398,344861,#d1d1d1,false
100,atomic-waker-1.1.2,208,31047,32187,#d1d1d1,false
101,tracing-log-0.2.0,207,205228,32187,#d1d1d1,false
102,combine-4.6.7,206,2351430,32187,#d1d1d1,false
103,event-listener-strategy-0.5.4,206,59428,32187,#d1d1d1,false
104,writeable-0.6.3,206,467413,32187,#d1d1d1,false
105,cpufeatures-0.3.0,205,60962,32187,#d1d1d1,false
106,generic-array-1.4.2,205,91466,31977,#d1d1d1,false
107,generic-array-1.4.3,205,91737,32187,#d1d1d1,false
108,serde_core-1.0.228,205,34576,32187,#d1d1d1,false
109,anstyle-query-1.1.5,204,91651,32187,#d1d1d1,false
110,futures-task-0.3.32,204,30882,31977,#d1d1d1,false
111,http-body-1.0.1,204,61091,32187,#d1d1d1,false
112,inout-0.2.2,204,30558,32187,#d1d1d1,false
113,ppv-lite86-0.2.21,203,60824,31977,#d1d1d1,false
114,utf8_iter-1.0.4,203,61022,32187,#d1d1d1,false
115,addr2line-0.26.1,202,30478,32187,#d1d1d1,false
116,futures-util-0.3.32,202,30821,32187,#d1d1d1,false
117,hyper-1.10.1,202,60820,32187,#d1d1d1,false
118,core-foundation-sys-0.8.7,200,30509,32187,#d1d1d1,false
119,pem-rfc7468-1.0.0,199,435796,31977,#d1d1d1,false
120,bincode-2.0.1,194,1738463,31599,#d1d1d1,false
121,hashbrown-0.17.1,194,3085798,32165,#d1d1d1,false
122,der-0.8.0,193,2269301,32187,#d1d1d1,false
123,tokio-stream-0.1.18,193,1454867,32165,#d1d1d1,false
124,zeroize-1.8.2,190,376844,32187,#d1d1d1,false
125,bytemuck-1.25.0,189,696034,31977,#d1d1d1,false
126,libc-0.2.186,189,173353,31977,#d1d1d1,false
127,erased-serde-0.4.10,188,521859,31977,#d1d1d1,false
128,getrandom-0.4.2,188,261876,32187,#d1d1d1,false
129,hashlink-0.11.0,188,1687467,32187,#d1d1d1,false
