,,Native Execution,,Miri with TB,,,,,,Lazy Allocator ONLY,,,,,,Lazy Allocator + 20k visit freq GC,,,,,,Lazy Allocator + 20k visit freq GC + 100 node threshold,,,,,,Lazy Alloc + 20k visit GC + 100 node threshold + Multi compaction,,,,,,Lazy Alloc + 20k visit GC + 64 node threshold + Multi compaction,,,,,,Lazy Alloc + 25k visit GC + 64 node threshold + Multi compaction,,,,
,AVERAGE,,20.55,,2922.535,804.725,76.144,57.014,,2953.243,1.162,917.721,,,,2441.147,1.194,758.052,,,,2391.502,1.27,737.084,,,,826.599,1.332,312.072,,,,110.346,1.446,57.771,,,,78.693,1.451,49.846,,
,crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,base_miri_tests,base_miri_passed,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,lazy-alloc_tests,lazy-alloc_passed,no-thresh-visit-gc_status,no-thresh-visit-gc_seconds,no-thresh-visit-gc_speedup,no-thresh-visit-gc_overhead,no-thresh-visit-gc_tests,no-thresh-visit-gc_passed,old-visit-gc_status,old-visit-gc_seconds,old-visit-gc_speedup,old-visit-gc_overhead,old-visit-gc_tests,old-visit-gc_passed,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead,visit-gc_tests,visit-gc_passed,visit-gc-Zmiri-tree-gc-min-nodes-64_status,visit-gc-Zmiri-tree-gc-min-nodes-64_seconds,visit-gc-Zmiri-tree-gc-min-nodes-64_speedup,visit-gc-Zmiri-tree-gc-min-nodes-64_overhead,visit-gc-Zmiri-tree-gc-min-nodes-64_tests,visit-gc-Zmiri-tree-gc-min-nodes-64_passed,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_status,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_seconds,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_speedup,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_overhead,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_tests,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_passed
,crossbeam-deque-0.8.6,success,15.74,test_failed,443.322,28.165,16,12,test_failed,434.558,1.02,27.609,16,12,test_failed,435.401,1.018,27.662,16,12,test_failed,495.597,0.895,31.486,16,12,test_failed,490.297,0.904,31.15,16,12,test_failed,454.843,0.975,28.897,16,12,test_failed,411.498,1.077,26.143,16,12
,crossbeam-epoch-0.9.18,success,7.835,test_failed,9.849,1.257,38,0,test_failed,8.616,1.143,1.1,38,0,test_failed,11.01,0.895,1.405,38,0,test_failed,8.504,1.158,1.085,38,0,test_failed,9.1,1.082,1.161,38,0,test_failed,8.206,1.2,1.047,38,0,test_failed,8.144,1.209,1.039,38,0
,crossbeam-queue-0.3.12,success,2299.735,success,67.025,0.029,36,36,success,56.791,1.18,0.025,36,36,success,62.617,1.07,0.027,36,36,success,74.467,0.9,0.032,36,36,success,62.136,1.079,0.027,36,36,success,58.456,1.147,0.025,36,36,success,59.586,1.125,0.026,36,36
,crossbeam-utils-0.8.21,success,20.434,success,52.681,2.578,221,220,success,43.164,1.22,2.112,221,220,success,38.906,1.354,1.904,221,220,success,57.989,0.908,2.838,221,220,success,37.49,1.405,1.835,221,220,success,37.694,1.398,1.845,221,220,success,37.082,1.421,1.815,221,220
,crypto-bigint-0.7.3,success,2.232,test_failed,1020.55,457.236,502,499,test_failed,786.366,1.298,352.315,502,499,test_failed,1416.545,0.72,634.653,502,499,test_failed,1791.695,0.57,802.731,502,499,test_failed,1215.652,0.84,544.647,502,499,test_failed,1106.059,0.923,495.546,502,499,test_failed,1040.794,0.981,466.306,502,499
,csv-1.4.0,success,15.699,test_failed,133.876,8.528,183,141,test_failed,124.288,1.077,7.917,183,141,test_failed,66.443,2.015,4.232,183,141,test_failed,71.877,1.863,4.578,183,141,test_failed,53.981,2.48,3.438,183,141,test_failed,57.662,2.322,3.673,183,141,test_failed,55.873,2.396,3.559,183,141
,curve25519-dalek-4.1.3,success,187.492,success,192424.051,1026.305,134,132,success,177241.927,1.086,945.331,134,132,success,188550.087,1.021,1005.643,134,132,success,187847.634,1.024,1001.897,134,132,absent,,,,,,absent,,,,,,absent,,,,,
,dashmap-6.2.1,success,15.41,fetch_failed,,,0,0,test_failed,15.277,,0.991,20,20,test_failed,16.597,,1.077,20,20,test_failed,15.253,,0.99,20,20,test_failed,15.839,,1.028,20,20,test_failed,15.362,,0.997,20,20,test_failed,14.342,,0.931,20,20
,data-encoding-2.11.0,success,3.194,success,11.987,3.753,43,42,success,10.459,1.146,3.275,43,42,success,9.619,1.246,3.012,43,42,success,10.194,1.176,3.192,43,42,success,8.07,1.485,2.527,43,42,success,7.756,1.546,2.428,43,42,success,10.163,1.179,3.182,43,42
,der-0.8.0,success,1.171,test_failed,10.301,8.797,78,76,test_failed,10.116,1.018,8.639,78,76,test_failed,10.605,0.971,9.056,78,76,test_failed,10.925,0.943,9.33,78,76,test_failed,9.964,1.034,8.509,78,76,test_failed,10.271,1.003,8.771,78,76,test_failed,10.9,0.945,9.308,78,76
,dirs-sys-0.5.0,success,1.469,success,4.841,3.295,9,9,success,3.474,1.393,2.365,9,9,success,3.566,1.358,2.428,9,9,success,3.928,1.232,2.674,9,9,success,3.338,1.45,2.272,9,9,success,3.362,1.44,2.289,9,9,success,3.217,1.505,2.19,9,9
,dirs-sys-next-0.1.2,success,0.413,success,3.837,9.291,9,9,absent,,,,,,success,4.301,0.892,10.414,9,9,success,3.301,1.162,7.993,9,9,success,3.198,1.2,7.743,9,9,success,3.342,1.148,8.092,9,9,success,3.054,1.256,7.395,9,9
,dyn-clone-1.0.20,test_failed,5.313,success,5.088,0.958,13,12,absent,,,,,,success,5.993,0.849,1.128,13,12,success,7.234,0.703,1.362,13,12,success,4.392,1.158,0.827,13,12,success,4.553,1.118,0.857,13,12,success,4.307,1.181,0.811,13,12
,either-1.16.0,success,5.512,success,13.454,2.441,65,65,absent,,,,,,success,13.337,1.009,2.42,65,65,success,9.077,1.482,1.647,65,65,success,9.081,1.482,1.647,65,65,success,8.834,1.523,1.603,65,65,success,8.315,1.618,1.509,65,65
,encoding_rs-0.8.35,success,2.305,success,423.617,183.782,159,140,absent,,,,,,success,281.348,1.506,122.06,159,140,success,230.275,1.84,99.902,159,140,success,304,1.393,131.887,159,140,success,294.378,1.439,127.713,159,140,success,263.337,1.609,114.246,159,140
,erased-serde-0.4.10,success,53.728,success,8.629,0.161,31,30,success,8.972,0.962,0.167,31,30,success,8.972,0.962,0.167,31,30,success,9.32,0.926,0.173,31,30,success,9.63,0.896,0.179,31,30,success,8.508,1.014,0.158,31,30,success,13.943,0.619,0.26,31,30
,errno-0.3.14,success,1.514,test_failed,2.723,1.799,4,3,test_failed,2.631,1.035,1.738,4,3,test_failed,2.628,1.036,1.736,4,3,test_failed,1.791,1.52,1.183,4,3,test_failed,1.908,1.427,1.26,4,3,test_failed,1.701,1.601,1.124,4,3,test_failed,1.784,1.526,1.178,4,3
,event-listener-5.4.1,success,7.508,success,8.525,1.135,43,43,success,7.261,1.174,0.967,43,43,success,13.022,0.655,1.734,43,43,success,8.819,0.967,1.175,43,43,success,7.722,1.104,1.029,43,43,success,6.448,1.322,0.859,43,43,success,8.153,1.046,1.086,43,43
,event-listener-strategy-0.5.4,success,6.774,success,2.903,0.429,5,5,success,2.977,0.975,0.439,5,5,success,5.961,0.487,0.88,5,5,success,4.99,0.582,0.737,5,5,success,2.707,1.072,0.4,5,5,success,2.817,1.031,0.416,5,5,success,2.694,1.078,0.398,5,5
,filetime-0.2.29,success,0.309,test_failed,1.478,4.783,8,0,test_failed,2.555,0.578,8.269,8,0,test_failed,1.479,0.999,4.786,8,0,test_failed,1.541,0.959,4.987,8,0,test_failed,1.421,1.04,4.599,8,0,test_failed,1.432,1.032,4.634,8,0,test_failed,1.473,1.003,4.767,8,0
,fixedbitset-0.5.7,success,0.904,success,66.679,73.76,69,69,success,56.402,1.182,62.392,69,69,success,54.901,1.215,60.731,69,69,success,56.876,1.172,62.916,69,69,success,53.496,1.246,59.177,69,69,success,54.228,1.23,59.987,69,69,success,56.341,1.183,62.324,69,69
,flate2-1.1.9,success,6.609,test_failed,95826.517,14499.397,66,61,test_failed,75990.306,1.261,11498.004,66,61,test_failed,55235.196,1.735,8357.572,66,61,test_failed,49661.518,1.93,7514.226,66,61,test_failed,48107.796,1.992,7279.134,66,61,absent,,,,,,absent,,,,,
,foldhash-0.2.0,success,1.78,success,2.453,1.378,4,4,success,1.882,1.303,1.057,4,4,success,2.034,1.206,1.143,4,4,success,2.334,1.051,1.311,4,4,success,1.933,1.269,1.086,4,4,success,1.963,1.25,1.103,4,4,success,1.949,1.259,1.095,4,4
,foreign-types-0.5.0,success,0.573,success,2.817,4.916,5,5,success,2.995,0.941,5.227,5,5,success,2.78,1.013,4.852,5,5,success,2.796,1.008,4.88,5,5,success,2.685,1.049,4.686,5,5,success,2.642,1.066,4.611,5,5,success,2.555,1.103,4.459,5,5
,form_urlencoded-1.2.2,success,0.55,success,0.887,1.613,1,1,success,0.777,1.142,1.413,1,1,success,1.451,0.611,2.638,1,1,success,0.714,1.242,1.298,1,1,success,0.84,1.056,1.527,1,1,success,0.724,1.225,1.316,1,1,success,0.717,1.237,1.304,1,1
,futures-channel-0.3.32,build_failed,,test_failed,2.781,,1,1,test_failed,1.82,1.528,,1,1,test_failed,2.982,0.933,,1,1,test_failed,1.753,1.586,,1,1,test_failed,1.719,1.618,,1,1,test_failed,1.641,1.695,,1,1,test_failed,1.468,1.894,,1,1
,futures-core-0.3.32,test_failed,0.298,test_failed,2.856,9.584,2,0,test_failed,1.677,1.703,5.628,2,0,test_failed,2.357,1.212,7.909,2,0,test_failed,2.188,1.305,7.342,2,0,test_failed,1.538,1.857,5.161,2,0,test_failed,1.626,1.756,5.456,2,0,test_failed,2.157,1.324,7.238,2,0
,futures-task-0.3.32,test_failed,0.279,test_failed,1.712,6.136,3,1,test_failed,1.767,0.969,6.333,3,1,test_failed,2.376,0.721,8.516,3,1,test_failed,2.986,0.573,10.703,3,1,test_failed,1.71,1.001,6.129,3,1,test_failed,1.569,1.091,5.624,3,1,test_failed,1.532,1.117,5.491,3,1
,futures-util-0.3.32,test_failed,10.323,test_failed,11.957,1.158,156,2,test_failed,12.46,0.96,1.207,156,2,test_failed,12.804,0.934,1.24,156,2,test_failed,45.944,0.26,4.451,156,2,test_failed,12.054,0.992,1.168,156,2,test_failed,36.945,0.324,3.579,156,2,test_failed,38.642,0.309,3.743,156,2
,generic-array-1.4.2,success,6.427,success,6.905,1.074,39,35,success,8.473,0.815,1.318,39,35,success,6.536,1.056,1.017,39,35,success,6.892,1.002,1.072,39,35,success,7.716,0.895,1.201,39,35,success,7.134,0.968,1.11,39,35,success,6.752,1.023,1.051,39,35
,generic-array-1.4.3,success,4.269,success,6.296,1.475,39,35,success,6.798,0.926,1.592,39,35,success,16.84,0.374,3.945,39,35,success,6.243,1.008,1.462,39,35,success,7.35,0.857,1.722,39,35,success,6.418,0.981,1.503,39,35,success,6.281,1.002,1.471,39,35
,getrandom-0.4.2,success,1.544,success,24.89,16.12,17,16,success,24.713,1.007,16.006,17,16,success,21.894,1.137,14.18,17,16,success,23.738,1.049,15.374,17,16,success,23.432,1.062,15.176,17,16,success,21.059,1.182,13.639,17,16,success,20.427,1.218,13.23,17,16
,gimli-0.33.0,success,1.548,success,928.939,600.09,554,554,success,907.425,1.024,586.192,554,554,success,1442.241,0.644,931.68,554,554,success,2185.232,0.425,1411.649,554,554,success,1265.427,0.734,817.459,554,554,success,901.688,1.03,582.486,554,554,success,810.559,1.146,523.617,554,554
,h2-0.4.14,test_failed,8.475,test_failed,39.332,4.641,420,0,test_failed,38.744,1.015,4.572,420,0,test_failed,44.565,0.883,5.258,420,0,test_failed,40.128,0.98,4.735,420,0,test_failed,40.092,0.981,4.731,420,0,test_failed,39.13,1.005,4.617,420,0,test_failed,37.266,1.055,4.397,420,0
,half-2.7.1,success,4.625,success,17.44,3.771,98,90,success,18.18,0.959,3.931,98,90,success,27.515,0.634,5.949,98,90,success,18.719,0.932,4.047,98,90,success,18.488,0.943,3.997,98,90,success,18.358,0.95,3.969,98,90,success,19.525,0.893,4.222,98,90
,hashbrown-0.17.1,success,7.092,success,121.895,17.188,383,381,success,123.445,0.987,17.406,383,381,success,153.376,0.795,21.627,383,381,success,122.091,0.998,17.215,383,381,success,123.473,0.987,17.41,383,381,success,122.367,0.996,17.254,383,381,success,112.5,1.084,15.863,383,381
,hashlink-0.11.0,success,0.204,success,22.713,111.338,66,66,success,22.122,1.027,108.441,66,66,success,24.038,0.945,117.833,66,66,success,21.536,1.055,105.569,66,66,success,20.676,1.099,101.353,66,66,success,20.439,1.111,100.191,66,66,success,19.723,1.152,96.681,66,66
,hermit-abi-0.5.2,test_failed,0.48,test_failed,2.706,5.638,3,0,test_failed,1.804,1.5,3.758,3,0,test_failed,2.074,1.305,4.321,3,0,test_failed,1.799,1.504,3.748,3,0,test_failed,1.567,1.727,3.265,3,0,test_failed,1.607,1.684,3.348,3,0,test_failed,1.613,1.678,3.36,3,0
,home-0.5.12,success,0.468,test_failed,1.761,3.763,3,0,test_failed,2.047,0.86,4.374,3,0,test_failed,1.93,0.912,4.124,3,0,test_failed,1.764,0.998,3.769,3,0,test_failed,1.614,1.091,3.449,3,0,test_failed,1.435,1.227,3.066,3,0,test_failed,1.723,1.022,3.682,3,0
,hostname-0.4.2,success,1.362,test_failed,2.623,1.926,5,4,test_failed,2.666,0.984,1.957,5,4,test_failed,3.881,0.676,2.849,5,4,test_failed,2.96,0.886,2.173,5,4,test_failed,2.471,1.062,1.814,5,4,test_failed,2.438,1.076,1.79,5,4,test_failed,5.017,0.523,3.684,5,4
,http-1.4.1,success,22.212,success,11079.293,498.798,400,400,success,10564.813,1.049,475.635,400,400,success,8675.524,1.277,390.578,400,400,success,14601.207,0.759,657.357,400,400,success,9590.834,1.155,431.786,400,400,absent,,,,,,absent,,,,,
,http-body-1.0.1,success,0.177,success,2.791,15.768,2,2,success,2.425,1.151,13.701,2,2,success,2.162,1.291,12.215,2,2,success,2.108,1.324,11.91,2,2,success,2.272,1.228,12.836,2,2,success,2.175,1.283,12.288,2,2,success,2.254,1.238,12.734,2,2
,httparse-1.10.1,success,18.63,success,51.712,2.776,365,364,success,42.107,1.228,2.26,365,364,success,48.394,1.069,2.598,365,364,success,37.833,1.367,2.031,365,364,success,42.566,1.215,2.285,365,364,success,39.586,1.306,2.125,365,364,success,37.214,1.39,1.998,365,364
,hyper-1.10.1,test_failed,1.225,test_failed,2.399,1.958,10,8,test_failed,2.509,0.956,2.048,10,8,test_failed,5.921,0.405,4.833,10,8,test_failed,2.579,0.93,2.105,10,8,test_failed,2.788,0.86,2.276,10,8,test_failed,2.354,1.019,1.922,10,8,test_failed,2.642,0.908,2.157,10,8
,iana-time-zone-0.1.65,test_failed,0.575,test_failed,2.531,4.402,6,0,test_failed,2.017,1.255,3.508,6,0,test_failed,3.598,0.703,6.257,6,0,test_failed,1.871,1.353,3.254,6,0,test_failed,1.869,1.354,3.25,6,0,test_failed,1.864,1.358,3.242,6,0,test_failed,1.766,1.433,3.071,6,0
,iana-time-zone-haiku-0.1.2,success,0.656,test_failed,1.462,2.229,1,0,test_failed,1.868,0.783,2.848,1,0,test_failed,2.014,0.726,3.07,1,0,test_failed,1.549,0.944,2.361,1,0,test_failed,1.51,0.968,2.302,1,0,test_failed,1.296,1.128,1.976,1,0,test_failed,1.398,1.046,2.131,1,0
,indexmap-2.14.0,success,2.019,success,192.216,95.204,218,218,success,182.589,1.053,90.435,218,218,success,178.819,1.075,88.568,218,218,absent,,,,,,success,205.17,0.937,101.62,218,218,success,175.038,1.098,86.695,218,218,success,163.208,1.178,80.836,218,218
,inout-0.2.2,success,0.238,success,2.419,10.164,1,1,success,2.408,1.005,10.118,1,1,success,2.268,1.067,9.529,1,1,absent,,,,,,success,2.304,1.05,9.681,1,1,success,2.225,1.087,9.349,1,1,success,2.117,1.143,8.895,1,1
,io-lifetimes-3.0.1,success,0.458,success,2.141,4.675,9,7,success,2.161,0.991,4.718,9,7,success,2.076,1.031,4.533,9,7,success,2.128,1.006,4.646,9,7,success,2.557,0.837,5.583,9,7,success,2.054,1.042,4.485,9,7,success,1.935,1.106,4.225,9,7
,is-terminal-0.4.17,success,0.365,success,2.775,7.603,9,9,success,2.324,1.194,6.367,9,9,success,2.179,1.274,5.97,9,9,success,2.292,1.211,6.279,9,9,success,2.514,1.104,6.888,9,9,success,2.276,1.219,6.236,9,9,success,2.142,1.296,5.868,9,9
,itertools-0.14.0,success,37.053,success,98.286,2.653,383,383,success,82.821,1.187,2.235,383,383,success,102.215,0.962,2.759,383,383,success,67.608,1.454,1.825,383,383,success,85.596,1.148,2.31,383,383,success,82.717,1.188,2.232,383,383,success,77.912,1.262,2.103,383,383
,itoa-1.0.18,success,0.578,success,5.247,9.078,13,13,success,3.613,1.452,6.251,13,13,success,3.546,1.48,6.135,13,13,success,3.476,1.509,6.014,13,13,success,3.45,1.521,5.969,13,13,success,3.429,1.53,5.933,13,13,success,7.386,0.71,12.779,13,13
,jobserver-0.1.34,success,1.345,test_failed,1.457,1.083,5,0,test_failed,1.523,0.957,1.132,5,0,test_failed,1.384,1.053,1.029,5,0,test_failed,1.403,1.038,1.043,5,0,test_failed,1.734,0.84,1.289,5,0,test_failed,1.377,1.058,1.024,5,0,test_failed,1.336,1.091,0.993,5,0
,lazycell-1.3.0,success,0.254,success,4.243,16.705,29,29,success,4.186,1.014,16.48,29,29,success,4.232,1.003,16.661,29,29,success,4.295,0.988,16.909,29,29,success,4.313,0.984,16.98,29,29,success,4.294,0.988,16.906,29,29,success,3.82,1.111,15.039,29,29
,libc-0.2.186,success,0.424,success,3.77,8.892,6,6,success,3.629,1.039,8.559,6,6,success,4.854,0.777,11.448,6,6,success,3.642,1.035,8.59,6,6,success,4.167,0.905,9.828,6,6,success,3.568,1.057,8.415,6,6,success,4.066,0.927,9.59,6,6
,libloading-0.9.0,success,3.68,test_failed,2.99,0.812,24,0,test_failed,3.033,0.986,0.824,24,0,test_failed,4.016,0.745,1.091,24,0,test_failed,2.83,1.057,0.769,24,0,test_failed,2.846,1.051,0.773,24,0,test_failed,2.814,1.063,0.765,24,0,test_failed,2.586,1.156,0.703,24,0
,libm-0.2.16,success,0.825,test_failed,2.709,3.284,116,0,test_failed,2.712,0.999,3.287,116,0,test_failed,2.777,0.976,3.366,116,0,test_failed,2.748,0.986,3.331,116,0,test_failed,2.646,1.024,3.207,116,0,test_failed,2.667,1.016,3.233,116,0,test_failed,2.509,1.08,3.041,116,0
,linked-hash-map-0.5.6,success,2.124,success,8.55,4.025,45,45,success,8.145,1.05,3.835,45,45,success,8.667,0.987,4.081,45,45,success,8.199,1.043,3.86,45,45,success,7.856,1.088,3.699,45,45,success,7.805,1.095,3.675,45,45,success,7.299,1.171,3.436,45,45
,lock_api-0.4.14,success,0.27,success,1.944,7.2,1,1,success,4.962,0.392,18.378,1,1,success,2.679,0.726,9.922,1,1,success,1.734,1.121,6.422,1,1,success,2.029,0.958,7.515,1,1,success,1.763,1.103,6.53,1,1,success,1.741,1.117,6.448,1,1
,log-0.4.30,success,1.904,success,8.722,4.581,59,58,success,11.905,0.733,6.253,59,58,success,11.715,0.745,6.153,59,58,success,8.803,0.991,4.623,59,58,success,8.659,1.007,4.548,59,58,success,6.702,1.301,3.52,59,58,success,8.152,1.07,4.282,59,58
,lru-0.18.0,success,5.931,success,351.21,59.216,95,95,success,346.404,1.014,58.406,95,95,success,401.464,0.875,67.689,95,95,success,419.803,0.837,70.781,95,95,success,385.801,0.91,65.048,95,95,success,372.99,0.942,62.888,95,95,success,337.179,1.042,56.85,95,95
,matchers-0.2.0,success,0.682,success,376.51,552.067,21,21,success,359.737,1.047,527.474,21,21,success,311.26,1.21,456.393,21,21,success,347.655,1.083,509.758,21,21,success,326.036,1.155,478.059,21,21,success,316.603,1.189,464.227,21,21,success,335.898,1.121,492.519,21,21
,matchit-0.9.2,build_failed,,test_failed,20.83,,20,20,test_failed,19.577,1.064,,20,20,test_failed,19.847,1.05,,20,20,test_failed,21.058,0.989,,20,20,test_failed,20.309,1.026,,20,20,test_failed,19.551,1.065,,20,20,test_failed,18.597,1.12,,20,20
,memchr-2.8.1,success,15.56,success,469.578,30.179,89,88,success,448.316,1.047,28.812,89,88,success,428.654,1.095,27.548,89,88,success,477.757,0.983,30.704,89,88,success,465.45,1.009,29.913,89,88,success,454.397,1.033,29.203,89,88,success,412.399,1.139,26.504,89,88
,memmap2-0.9.10,success,1.957,test_failed,1.508,0.771,27,0,test_failed,1.567,0.962,0.801,27,0,test_failed,1.492,1.011,0.762,27,0,test_failed,1.476,1.022,0.754,27,0,test_failed,2.632,0.573,1.345,27,0,test_failed,1.41,1.07,0.72,27,0,test_failed,2.314,0.652,1.182,27,0
,minimal-lexical-0.2.1,success,0.51,success,30.453,59.712,42,42,success,28.442,1.071,55.769,42,42,success,26.765,1.138,52.48,42,42,success,25.791,1.181,50.571,42,42,success,24.478,1.244,47.996,42,42,success,28.466,1.07,55.816,42,42,success,27.767,1.097,54.445,42,42
,mio-1.2.1,success,0.604,success,2.023,3.349,21,5,success,3.506,0.577,5.805,21,5,success,2.822,0.717,4.672,21,5,success,1.961,1.032,3.247,21,5,success,2.721,0.743,4.505,21,5,success,2.045,0.989,3.386,21,5,success,2.668,0.758,4.417,21,5
,native-tls-0.2.18,test_failed,3.002,test_failed,1.626,0.542,19,0,test_failed,1.669,0.974,0.556,19,0,test_failed,1.913,0.85,0.637,19,0,test_failed,1.59,1.023,0.53,19,0,test_failed,2.752,0.591,0.917,19,0,test_failed,1.531,1.062,0.51,19,0,test_failed,1.616,1.006,0.538,19,0
,nom-8.0.0,build_failed,,test_failed,11.413,,208,0,test_failed,14.797,0.771,,208,0,test_failed,12.138,0.94,,208,0,test_failed,12.253,0.931,,208,0,test_failed,12.018,0.95,,208,0,test_failed,11.774,0.969,,208,0,test_failed,10.759,1.061,,208,0
,nu-ansi-term-0.50.3,success,3.694,success,17.83,4.827,123,123,success,14.068,1.267,3.808,123,123,success,17.163,1.039,4.646,123,123,success,16.962,1.051,4.592,123,123,success,17.576,1.014,4.758,123,123,success,16.172,1.103,4.378,123,123,success,17.308,1.03,4.685,123,123
,num_cpus-1.17.0,success,1.432,test_failed,1.573,1.098,15,0,test_failed,1.238,1.271,0.865,15,0,test_failed,2.377,0.662,1.66,15,0,test_failed,2.624,0.599,1.832,15,0,test_failed,1.328,1.184,0.927,15,0,test_failed,1.356,1.16,0.947,15,0,test_failed,1.244,1.264,0.869,15,0
,num-bigint-0.4.6,success,5.444,test_failed,6246.044,1147.326,69,67,test_failed,6413.821,0.974,1178.145,69,67,test_failed,6659.87,0.938,1223.341,69,67,test_failed,7158.449,0.873,1314.925,69,67,test_failed,6729.795,0.928,1236.186,69,67,test_failed,6321.022,0.988,1161.099,69,67,absent,,,,,
,num-complex-0.4.6,success,0.907,test_failed,12.676,13.976,92,91,test_failed,11.615,1.091,12.806,92,91,test_failed,13.505,0.939,14.89,92,91,test_failed,11.971,1.059,13.198,92,91,test_failed,12.182,1.041,13.431,92,91,test_failed,11.505,1.102,12.685,92,91,test_failed,10.259,1.236,11.311,92,91
,object-0.39.1,test_failed,0.136,test_failed,6.569,48.301,19,13,test_failed,6.082,1.08,44.721,19,13,test_failed,7.033,0.934,51.713,19,13,test_failed,4.916,1.336,36.147,19,13,test_failed,6.579,0.998,48.375,19,13,test_failed,6.238,1.053,45.868,19,13,test_failed,5.694,1.154,41.868,19,13
,once_cell-1.21.4,success,18.785,success,28.086,1.495,118,116,success,25.524,1.1,1.359,118,116,success,34.392,0.817,1.831,118,116,success,29.508,0.952,1.571,118,116,success,28.741,0.977,1.53,118,116,success,27.173,1.034,1.447,118,116,success,28.092,1,1.495,118,116
,openssl-0.10.80,success,27.354,test_failed,7.31,0.267,440,0,test_failed,5.628,1.299,0.206,440,0,test_failed,7.133,1.025,0.261,440,0,test_failed,7.61,0.961,0.278,440,0,test_failed,7.59,0.963,0.277,440,0,test_failed,6.557,1.115,0.24,440,0,test_failed,6.76,1.081,0.247,440,0
,ordered-float-5.3.0,success,1.153,test_failed,99.134,85.979,71,70,test_failed,89.429,1.109,77.562,71,70,test_failed,97.37,1.018,84.449,71,70,test_failed,93.765,1.057,81.323,71,70,test_failed,91.815,1.08,79.631,71,70,test_failed,93.173,1.064,80.809,71,70,test_failed,92.323,1.074,80.072,71,70
,os_str_bytes-7.2.0,success,5.956,test_failed,8.751,1.469,67,48,test_failed,8.999,0.972,1.511,67,48,test_failed,11.006,0.795,1.848,67,48,test_failed,12.48,0.701,2.095,67,48,test_failed,9.576,0.914,1.608,67,48,test_failed,8.942,0.979,1.501,67,48,test_failed,8.555,1.023,1.436,67,48
,parking_lot_core-0.9.12,success,28.304,success,2894.29,102.257,12,12,success,2908.71,0.995,102.767,12,12,success,3050.512,0.949,107.777,12,12,success,3426.188,0.845,121.05,12,12,success,3886.158,0.745,137.301,12,12,success,2055.071,1.408,72.607,12,12,success,2523.926,1.147,89.172,12,12
,pem-rfc7468-1.0.0,success,0.394,success,13.178,33.447,16,15,success,10.178,1.295,25.832,16,15,success,14.623,0.901,37.114,16,15,success,9.731,1.354,24.698,16,15,success,9.249,1.425,23.475,16,15,success,9.983,1.32,25.338,16,15,success,8.868,1.486,22.508,16,15
,percent-encoding-2.3.2,success,0.687,success,5.026,7.316,24,24,success,4.886,1.029,7.112,24,24,success,8.726,0.576,12.702,24,24,success,5.299,0.948,7.713,24,24,success,4.974,1.01,7.24,24,24,success,4.8,1.047,6.987,24,24,success,4.708,1.068,6.853,24,24
,petgraph-0.8.3,success,10.902,success,1511.854,138.677,422,417,success,1246.162,1.213,114.306,422,417,success,1107.184,1.365,101.558,422,417,success,1156.417,1.307,106.074,422,417,success,1182.699,1.278,108.485,422,417,success,1090.142,1.387,99.995,422,417,success,1101.675,1.372,101.053,422,417
,pin-project-1.1.13,build_failed,,success,12.912,,40,40,success,12.12,1.065,,40,40,success,11.517,1.121,,40,40,success,9.373,1.378,,40,40,success,12.983,0.995,,40,40,success,11.486,1.124,,40,40,success,11.177,1.155,,40,40
,pin-project-lite-0.2.17,build_failed,,success,8.904,,33,33,success,8.835,1.008,,33,33,success,8.64,1.031,,33,33,success,8.71,1.022,,33,33,success,9.605,0.927,,33,33,success,11.217,0.794,,33,33,success,8.108,1.098,,33,33
,plotters-0.3.7,test_failed,21.508,test_failed,4.028,0.187,81,0,test_failed,3.362,1.198,0.156,81,0,absent,,,,,,test_failed,3.681,1.094,0.171,81,0,test_failed,4.031,0.999,0.187,81,0,test_failed,3.172,1.27,0.147,81,0,test_failed,3.18,1.267,0.148,81,0
,polling-3.11.0,success,23.057,test_failed,8.561,0.371,3,0,test_failed,2.174,3.938,0.094,3,0,absent,,,,,,test_failed,2.115,4.048,0.092,3,0,test_failed,2.102,4.073,0.091,3,0,test_failed,2.028,4.221,0.088,3,0,test_failed,2.011,4.257,0.087,3,0
,powerfmt-0.2.0,success,0.997,success,2.013,2.019,5,5,success,2.065,0.975,2.071,5,5,success,2.813,0.716,2.821,5,5,success,2.687,0.749,2.695,5,5,success,2.119,0.95,2.125,5,5,success,1.893,1.063,1.899,5,5,success,2.034,0.99,2.04,5,5
