,,Native Execution,,Miri with TB,,,,,,Lazy Allocator ONLY,,,,,,Lazy Allocator + 20k visit freq GC,,,,,,Lazy Allocator + 20k visit freq GC + 100 node threshold,,,,,,Lazy Alloc + 20k visit GC + 100 node threshold + Multi compaction,,,,,,Lazy Alloc + 20k visit GC + 64 node threshold + Multi compaction,,,,,,Lazy Alloc + 25k visit GC + 64 node threshold + Multi compaction,,,,
,AVERAGE,,20.55,,2922.535,804.725,76.144,57.014,,2953.243,1.162,917.721,,,,2441.147,1.194,758.052,,,,2391.502,1.27,737.084,,,,826.599,1.332,312.072,,,,110.346,1.446,57.771,,,,78.693,1.451,49.846,,
,crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,base_miri_tests,base_miri_passed,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,lazy-alloc_tests,lazy-alloc_passed,no-thresh-visit-gc_status,no-thresh-visit-gc_seconds,no-thresh-visit-gc_speedup,no-thresh-visit-gc_overhead,no-thresh-visit-gc_tests,no-thresh-visit-gc_passed,old-visit-gc_status,old-visit-gc_seconds,old-visit-gc_speedup,old-visit-gc_overhead,old-visit-gc_tests,old-visit-gc_passed,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead,visit-gc_tests,visit-gc_passed,visit-gc-Zmiri-tree-gc-min-nodes-64_status,visit-gc-Zmiri-tree-gc-min-nodes-64_seconds,visit-gc-Zmiri-tree-gc-min-nodes-64_speedup,visit-gc-Zmiri-tree-gc-min-nodes-64_overhead,visit-gc-Zmiri-tree-gc-min-nodes-64_tests,visit-gc-Zmiri-tree-gc-min-nodes-64_passed,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_status,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_seconds,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_speedup,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_overhead,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_tests,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_passed
,anstyle-query-1.1.5,success,0.195,success,3.28,16.821,3,3,success,2.064,1.589,10.585,3,3,success,4.729,0.694,24.251,3,3,success,3.574,0.918,18.328,3,3,success,2.536,1.293,13.005,3,3,success,3.867,0.848,19.831,3,3,success,5.077,0.646,26.036,3,3
,anyhow-1.0.102,success,14.685,success,24.997,1.702,98,97,success,30.222,0.827,2.058,98,97,success,29.938,0.835,2.039,98,97,success,29.783,0.839,2.028,98,97,success,22.974,1.088,1.564,98,97,success,23.042,1.085,1.569,98,97,success,21.93,1.14,1.493,98,97
,arc-swap-1.9.1,success,6.675,test_failed,97.012,14.534,40,35,test_failed,87.078,1.114,13.045,40,35,test_failed,91.515,1.06,13.71,40,35,test_failed,97.364,0.996,14.586,40,35,test_failed,92.196,1.052,13.812,40,35,test_failed,94.045,1.032,14.089,40,35,test_failed,89.772,1.081,13.449,40,35
,arrayvec-0.7.6,success,3.394,success,25.359,7.472,93,92,success,30.763,0.824,9.064,93,92,success,24.949,1.016,7.351,93,92,success,13.805,1.837,4.067,93,92,success,15.966,1.588,4.704,93,92,success,14.636,1.733,4.312,93,92,success,14.19,1.787,4.181,93,92
,async-io-2.6.0,success,28.861,test_failed,3.214,0.111,15,0,test_failed,5.274,0.609,0.183,15,0,test_failed,15.136,0.212,0.524,15,0,test_failed,2.923,1.1,0.101,15,0,test_failed,3.026,1.062,0.105,15,0,test_failed,3.23,0.995,0.112,15,0,test_failed,3.117,1.031,0.108,15,0
,async-lock-3.4.2,success,8.432,success,113.017,13.403,118,114,success,128.574,0.879,15.248,118,114,success,133.784,0.845,15.866,118,114,success,114.172,0.99,13.54,118,114,success,127.807,0.884,15.157,118,114,success,107.218,1.054,12.716,118,114,success,105.13,1.075,12.468,118,114
,async-stream-0.3.6,build_failed,,test_failed,5.011,,2,2,test_failed,5.685,0.881,,2,2,test_failed,10.675,0.469,,2,2,test_failed,4.445,1.127,,2,2,test_failed,4.364,1.148,,2,2,test_failed,4.307,1.163,,2,2,test_failed,5.064,0.99,,2,2
,async-trait-0.1.89,test_failed,16.088,success,3.073,0.191,5,4,success,3.819,0.805,0.237,5,4,success,5.297,0.58,0.329,5,4,success,3.891,0.79,0.242,5,4,success,4.895,0.628,0.304,5,4,success,2.974,1.033,0.185,5,4,success,2.819,1.09,0.175,5,4
,atomic-waker-1.1.2,success,0.588,success,2.616,4.449,3,3,success,2.343,1.117,3.985,3,3,success,6.64,0.394,11.293,3,3,success,2.375,1.101,4.039,3,3,success,5.252,0.498,8.932,3,3,success,2.496,1.048,4.245,3,3,success,6.991,0.374,11.889,3,3
,atty-0.2.14,test_failed,0.058,test_failed,2.226,38.379,3,0,test_failed,2.513,0.886,43.328,3,0,test_failed,1.863,1.195,32.121,3,0,test_failed,1.63,1.366,28.103,3,0,test_failed,1.919,1.16,33.086,3,0,test_failed,2.547,0.874,43.914,3,0,test_failed,5.568,0.4,96,3,0
