rank,crate,dots,trees,max_tree_size,color,in_legend
87,getrandom-0.4.2,477,110543,253480,#d1d1d1,false
88,writeable-0.6.3,477,40977,498256,#d1d1d1,false
89,socket2-0.6.4,467,63864,317070,#d1d1d1,false
90,der-0.8.0,454,30768,2456766,#d1d1d1,false
91,either-1.16.0,450,55594,221312,#d1d1d1,false
92,yoke-0.8.2,444,40740,371268,#d1d1d1,false
93,dyn-clone-1.0.20,442,52079,222033,#d1d1d1,false
94,bincode-2.0.1,433,31222,1902420,#d1d1d1,false
95,bumpalo-3.20.3,410,52514,158595,#d1d1d1,false
96,hashlink-0.11.0,400,30104,1826826,#d1d1d1,false
97,tracing-log-0.2.0,389,41271,217826,#d1d1d1,false
98,r-efi-6.0.0,384,63385,125220,#d1d1d1,false
99,serde_bytes-0.11.19,377,53791,125988,#d1d1d1,false
100,async-trait-0.1.89,371,51980,126828,#d1d1d1,false
101,errno-0.3.14,368,43964,126416,#d1d1d1,false
102,is-terminal-0.4.17,360,45966,190110,#d1d1d1,false
103,anstyle-query-1.1.5,341,41751,95091,#d1d1d1,false
104,bytemuck-1.25.0,317,30053,761256,#d1d1d1,false
105,generic-array-1.4.2,316,50275,95121,#d1d1d1,false
106,generic-array-1.4.3,314,50318,95121,#d1d1d1,false
107,erased-serde-0.4.10,303,30037,570726,#d1d1d1,false
108,hyper-1.10.1,286,40623,62238,#d1d1d1,false
109,zeroize-1.8.2,284,29947,412347,#d1d1d1,false
110,http-body-1.0.1,281,40635,63060,#d1d1d1,false
111,pem-rfc7468-1.0.0,274,29843,469575,#d1d1d1,false
112,rustversion-1.0.22,270,43199,62994,#d1d1d1,false
113,event-listener-strategy-0.5.4,265,40675,63438,#d1d1d1,false
114,libc-0.2.186,229,29916,190182,#d1d1d1,false
115,cpufeatures-0.3.0,227,32049,63438,#d1d1d1,false
116,utf8_iter-1.0.4,220,32003,62994,#d1d1d1,false
117,redox_syscall-0.8.0,203,31186,31141,#d1d1d1,false
118,atomic-waker-1.1.2,202,30871,31497,#d1d1d1,false
119,utf8parse-0.2.2,201,149449,299135,#d1d1d1,false
120,serde_core-1.0.228,200,34493,31707,#d1d1d1,false
121,inout-0.2.2,197,30485,31719,#d1d1d1,false
122,futures-task-0.3.32,196,30892,31719,#d1d1d1,false
123,futures-util-0.3.32,196,30733,31697,#d1d1d1,false
124,core-foundation-sys-0.8.7,195,30428,31707,#d1d1d1,false
125,ppv-lite86-0.2.21,184,29225,63370,#d1d1d1,false
