crate,name,version,repository,host,extern_c,extern_c_unwind,extern_cpp,matched_files,status
pixman-sys-0.1.0,pixman-sys,0.1.0,https://github.com/cmeissl/pixman-rs,github,148,0,0,1,"extern ""C"""
pjsipua-callable-win-0.1.15,pjsipua-callable-win,0.1.15,https://github.com/ajukes/pjsua2-win,github,16,0,0,7,"extern ""C"""
pjsipua-win-0.1.26,pjsipua-win,0.1.26,https://github.com/ajukes/pjsua2-win,github,11,0,0,2,"extern ""C"""
pktmon-0.6.2,pktmon,0.6.2,https://github.com/emmachase/pktmon,github,19,0,0,2,"extern ""C"""
playdate-allocator-0.1.0,playdate-allocator,0.1.0,https://github.com/boozook/playdate.git,github,6,0,0,2,"extern ""C"""
playdate-controls-0.3.9,playdate-controls,0.3.9,https://github.com/boozook/playdate.git,github,21,0,0,1,"extern ""C"""
playdate-display-0.3.9,playdate-display,0.3.9,https://github.com/boozook/playdate.git,github,16,0,0,1,"extern ""C"""
playdate-fs-0.2.12,playdate-fs,0.2.12,https://github.com/boozook/playdate.git,github,15,0,0,2,"extern ""C"""
playdate-graphics-0.6.1,playdate-graphics,0.6.1,https://github.com/boozook/playdate.git,github,139,0,0,5,"extern ""C"""
playdate-lua-0.1.5,playdate-lua,0.1.5,https://github.com/boozook/playdate.git,github,5,0,0,2,"extern ""C"""
playdate-menu-0.3.1,playdate-menu,0.3.1,https://github.com/boozook/playdate.git,github,33,0,0,1,"extern ""C"""
playdate-rs-0.0.15,playdate-rs,0.0.15,https://github.com/rusty-crank/playdate-rs,github,66,0,0,9,"extern ""C"""
playdate-rs-sys-0.0.12,playdate-rs-sys,0.0.12,https://github.com/rusty-crank/playdate-rs,github,520,0,0,1,"extern ""C"""
playdate-scoreboards-0.1.7,playdate-scoreboards,0.1.7,https://github.com/boozook/playdate.git,github,17,0,0,2,"extern ""C"""
playdate-sound-0.4.5,playdate-sound,0.4.5,https://github.com/boozook/playdate.git,github,84,0,0,6,"extern ""C"""
playdate-sprite-0.3.3,playdate-sprite,0.3.3,https://github.com/boozook/playdate.git,github,66,0,0,4,"extern ""C"""
playdate-system-0.3.16,playdate-system,0.3.16,https://github.com/boozook/playdate.git,github,39,0,0,2,"extern ""C"""
playwright-cdp-0.3.0,playwright-cdp,0.3.0,https://github.com/liangdi/playwright-cdp,github,1,0,0,1,"extern ""C"""
plctag-async-0.4.1,plctag-async,0.4.1,https://github.com/Joylei/plctag-rs.git,github,1,0,0,1,"extern ""C"""
plctag-core-0.4.1,plctag-core,0.4.1,https://github.com/Joylei/plctag-rs.git,github,3,0,0,1,"extern ""C"""
plctag-log-0.3.1,plctag-log,0.3.1,https://github.com/Joylei/plctag-rs.git,github,1,0,0,1,"extern ""C"""
plist-sys-0.1.5,plist-sys,0.1.5,https://github.com/moriturus/plist-sys.git,github,7,0,0,1,"extern ""C"""
