timestamp,app,status,compile_seconds,run_seconds,log
20260706T161144Z,ripgrep,ok,,101,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/ripgrep.20260706T161144Z.log
20260706T161144Z,rustls,ok,,109,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/rustls.20260706T161144Z.log
20260706T161144Z,uutils-coreutils,ok,,22,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/uutils-coreutils.20260706T161144Z.log
20260706T161138Z,react-compiler,ok,,5,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/react-compiler.20260706T161138Z.log
20260706T161138Z,bat,ok,,450,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/bat.20260706T161138Z.log
20260706T171012Z,rusty-v8,fetch_ok,,,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/rusty-v8.20260706T171012Z.log
20260706T171025Z,firecracker,fetch_ok,,,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/firecracker.20260706T171025Z.log
20260706T171029Z,wgpu-hal,fetch_ok,,,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/wgpu-hal.20260706T171029Z.log
20260706T171111Z,wgpu-hal,ok,,1,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/wgpu-hal.20260706T171111Z.log
20260706T180649Z,wgpu-hal,ok,,2,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/wgpu-hal.20260706T180649Z.log
20260706T181627Z,wgpu-hal,ok,,2,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/wgpu-hal.20260706T181627Z.log
20260706T182432Z,wgpu-hal,ok,,1,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/wgpu-hal.20260706T182432Z.log
20260706T161144Z,ring,ok,,11139,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/ring.20260706T161144Z.log
20260706T190734Z,firecracker,ok,,9,/scratch/group/p.cis260229.000/aces-big-apps/outputs/bsan-big-apps/firecracker.20260706T190734Z.log
