rust,combine-4.6.7,,build_failed,,,,,,,10,2026-07-10T17:06:01Z,1936897.19
rust,tungstenite-0.29.0,buffer::tests::reading_in_chunks,success,28.484,0.4154647484,0.015077462910361631,0.42070455900000003,0.38543069100000005,0.43167319400000004,10,2026-07-10T17:07:14Z,1936897.19
rust,tungstenite-0.29.0,buffer::tests::simple_reading,success,28.484,0.3955189078,0.01614517102016068,0.3891049495,0.368897517,0.418796798,10,2026-07-10T17:07:18Z,1936897.19
rust,tungstenite-0.29.0,error::test::error_size,success,28.484,0.40292066270000004,0.018721649546680198,0.39679808650000004,0.377549112,0.42733993400000003,10,2026-07-10T17:07:22Z,1936897.19
rust,tungstenite-0.29.0,error::test::protocol_error_size,success,28.484,0.3691203498,0.009880148958632713,0.364536483,0.35719124100000005,0.384361442,10,2026-07-10T17:07:26Z,1936897.19
rust,tungstenite-0.29.0,error::test::tls_error_size,success,28.484,0.3651161009,0.0067580869538037495,0.365693092,0.35608728,0.37698097900000005,10,2026-07-10T17:07:30Z,1936897.19
rust,tungstenite-0.29.0,handshake::client::tests::invalid_custom_request,success,28.484,0.36946417519999997,0.01679953704066459,0.3658042005,0.355228158,0.413549056,10,2026-07-10T17:07:35Z,1936897.19
rust,tungstenite-0.29.0,handshake::client::tests::random_keys,success,28.484,0.38215382330000003,0.015030932832421066,0.38225368700000006,0.36179956300000005,0.412480302,10,2026-07-10T17:07:39Z,1936897.19
rust,tungstenite-0.29.0,handshake::client::tests::request_formatting,success,28.484,0.37936732840000004,0.014845829491746728,0.37751955300000006,0.36531535400000004,0.41365400900000004,10,2026-07-10T17:07:43Z,1936897.19
rust,tungstenite-0.29.0,handshake::client::tests::request_formatting_with_at,success,28.484,0.3722608802,0.007763656685505277,0.37019550700000003,0.36172879900000005,0.383741143,10,2026-07-10T17:07:47Z,1936897.19
rust,tungstenite-0.29.0,handshake::client::tests::request_formatting_with_host,success,28.484,0.39804031500000003,0.018186744249137913,0.39156075650000005,0.375569246,0.432447854,10,2026-07-10T17:07:51Z,1936897.19
rust,tungstenite-0.29.0,handshake::client::tests::request_with_latin1_header,success,28.484,0.3960158237000001,0.014807923111281316,0.39066752650000003,0.37854496400000004,0.428370061,10,2026-07-10T17:07:56Z,1936897.19
rust,tungstenite-0.29.0,handshake::client::tests::request_with_non_ascii_header,success,28.484,0.41112114050000004,0.026852336022605523,0.41594071600000004,0.363408216,0.45282539400000005,10,2026-07-10T17:08:00Z,1936897.19
rust,tungstenite-0.29.0,handshake::client::tests::response_parsing,success,28.484,0.39586247309999995,0.014302939075765584,0.39603769650000004,0.370939564,0.41897467400000005,10,2026-07-10T17:08:05Z,1936897.19
rust,tungstenite-0.29.0,handshake::headers::tests::headers,success,28.484,0.4164063887,0.02261289620405924,0.41318899200000003,0.36863380500000004,0.453321283,10,2026-07-10T17:08:09Z,1936897.19
rust,tungstenite-0.29.0,handshake::headers::tests::headers_incomplete,success,28.484,0.41036088170000007,0.01438937646291031,0.41242710050000003,0.390356749,0.433425192,10,2026-07-10T17:08:14Z,1936897.19
rust,tungstenite-0.29.0,handshake::headers::tests::headers_iter,success,28.484,0.41698263980000005,0.018480485361031893,0.41647828400000003,0.394065184,0.455664141,10,2026-07-10T17:08:18Z,1936897.19
rust,tungstenite-0.29.0,handshake::server::tests::request_parsing,success,28.484,0.38927935250000006,0.018920187601980325,0.386518183,0.367992981,0.428442221,10,2026-07-10T17:08:23Z,1936897.19
rust,tungstenite-0.29.0,handshake::server::tests::request_replying,success,28.484,0.3843073375,0.012301239423519468,0.38147367200000004,0.36984036600000003,0.404113445,10,2026-07-10T17:08:27Z,1936897.19
rust,tungstenite-0.29.0,handshake::tests::key_conversion,success,28.484,0.3963456696,0.0156628513548664,0.39342537250000004,0.375597024,0.43329810300000005,10,2026-07-10T17:08:31Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::coding::tests::closecode_from_u16,success,28.484,0.3823399712,0.01890118785262287,0.37984507200000006,0.36114496700000004,0.42317426900000005,10,2026-07-10T17:08:36Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::coding::tests::closecode_into_u16,success,28.484,0.39856952219999997,0.030001377090191832,0.397701742,0.36403232700000004,0.466265321,10,2026-07-10T17:08:40Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::coding::tests::opcode_from_u8,success,28.484,0.40473782810000003,0.03023602273102783,0.39456898900000004,0.377395898,0.48073867400000003,10,2026-07-10T17:08:44Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::coding::tests::opcode_into_u8,success,28.484,0.41249940900000004,0.019446066961053967,0.40673479500000004,0.388062222,0.447066573,10,2026-07-10T17:08:49Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::frame::tests::display,success,28.484,0.4095815485,0.020298621080462525,0.4036139245,0.38829628000000005,0.44882791400000005,10,2026-07-10T17:08:53Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::frame::tests::format,success,28.484,0.40433420159999994,0.01655051621087795,0.4001779395,0.383001448,0.43120852200000004,10,2026-07-10T17:08:58Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::frame::tests::format_into_buf,success,28.484,0.39214407470000007,0.01447580608391838,0.39253622,0.374012489,0.41351227100000004,10,2026-07-10T17:09:02Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::frame::tests::parse,success,28.484,0.41941774680000005,0.03202006980754854,0.416808163,0.38860224400000004,0.490056358,10,2026-07-10T17:09:07Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::mask::tests::test_apply_mask,success,28.484,0.3880714611,0.022915620989790768,0.3851314115,0.358459054,0.41826166000000004,10,2026-07-10T17:09:11Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::tests::from_partially_read,success,28.484,0.37019481090000006,0.015125275021649752,0.364919661,0.351270242,0.39718820400000004,10,2026-07-10T17:09:15Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::tests::parse_overflow,success,28.484,0.39282374950000004,0.023277441990536586,0.383329079,0.369800273,0.44351390900000004,10,2026-07-10T17:09:19Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::tests::read_frames,success,28.484,0.37613054440000004,0.026092817986532704,0.3690276725,0.34816782100000004,0.43003655100000004,10,2026-07-10T17:09:24Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::tests::size_limit_hit,success,28.484,0.35650901040000005,0.005629564211189832,0.3548610295,0.34722372900000004,0.36442660400000004,10,2026-07-10T17:09:28Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::tests::write_frames,success,28.484,0.3649356361,0.015386363910074087,0.359679631,0.352923629,0.40308033600000004,10,2026-07-10T17:09:32Z,1936897.19
rust,tungstenite-0.29.0,protocol::frame::utf8::tests::hash_consistency,success,28.484,0.3662312124,0.022380463219082915,0.35698622300000005,0.345670081,0.40844579400000003,10,2026-07-10T17:09:36Z,1936897.19
rust,tungstenite-0.29.0,protocol::message::tests::binary_convert,success,28.484,0.35477555660000004,0.013572828504486982,0.350543038,0.341883254,0.378187247,10,2026-07-10T17:09:40Z,1936897.19
rust,tungstenite-0.29.0,protocol::message::tests::binary_convert_bytes,success,28.484,0.349312335,0.008548704814053286,0.349285634,0.33539498700000003,0.364973557,10,2026-07-10T17:09:43Z,1936897.19
rust,tungstenite-0.29.0,protocol::message::tests::binary_convert_into_bytes,success,28.484,0.3511916218,0.006377124751533193,0.34887931800000005,0.34502315100000003,0.367734027,10,2026-07-10T17:09:47Z,1936897.19
rust,tungstenite-0.29.0,protocol::message::tests::binary_convert_vec,success,28.484,0.35894194890000003,0.013894703496704486,0.35582215800000006,0.34318517800000004,0.38497424900000005,10,2026-07-10T17:09:51Z,1936897.19
rust,tungstenite-0.29.0,protocol::message::tests::display,success,28.484,0.35390183340000003,0.012358550765806588,0.34870381100000003,0.342614837,0.38131214700000005,10,2026-07-10T17:09:55Z,1936897.19
rust,tungstenite-0.29.0,protocol::message::tests::text_convert,success,28.484,0.3558599641,0.012547479782791323,0.356750086,0.33751332300000003,0.381050759,10,2026-07-10T17:09:59Z,1936897.19
rust,tungstenite-0.29.0,protocol::tests::receive_messages,success,28.484,0.34127389720000006,0.004965792693350368,0.340703078,0.33489792900000004,0.350359731,10,2026-07-10T17:10:03Z,1936897.19
rust,tungstenite-0.29.0,protocol::tests::size_limiting_binary,success,28.484,0.35213244810000005,0.01225852725270607,0.3502754885,0.33706934,0.374237017,10,2026-07-10T17:10:07Z,1936897.19
rust,tungstenite-0.29.0,protocol::tests::size_limiting_text_fragmented,success,28.484,0.35174159610000005,0.0185886494119502,0.34594179,0.333780701,0.39587503900000004,10,2026-07-10T17:10:11Z,1936897.19
rust,erased-serde-0.4.10,de::tests::assert_deserializer,success,22.381,0.25326334699999997,0.005666534935007337,0.252841947,0.24525411900000002,0.264999818,10,2026-07-10T17:10:59Z,1936897.19
rust,erased-serde-0.4.10,de::tests::test_borrowed,success,22.381,0.2506511444,0.006196372233756127,0.2485462235,0.24177388500000002,0.259334259,10,2026-07-10T17:11:02Z,1936897.19
rust,erased-serde-0.4.10,de::tests::test_dangle,success,22.381,0.2560548297,0.00839387384764418,0.2567561345,0.23699205,0.266225515,10,2026-07-10T17:11:05Z,1936897.19
